"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","regulation","rank","gene_SYMBOL","ENTREZID"
"Ccl5",0,2.77607171517851,0.649,0.288,0,"M1-like","Ccl5","up",Inf,"Ccl5","20304"
"Ly6c2",0,2.11621922120432,0.854,0.564,0,"M1-like","Ly6c2","up",Inf,"Ly6c2","100041546"
"Isg15",0,1.79138287932761,0.867,0.711,0,"M1-like","Isg15","up",Inf,"Isg15","100038882"
"Ly6c1",0,1.70332043881019,0.734,0.382,0,"M1-like","Ly6c1","up",Inf,"Ly6c1","17067"
"Plac8",0,1.59555813881782,0.873,0.707,0,"M1-like","Plac8","up",Inf,"Plac8","231507"
"Ms4a4c",0,1.55374434570419,0.93,0.759,0,"M1-like","Ms4a4c","up",Inf,"Ms4a4c","64380"
"Cd52",0,1.4317534581793,0.94,0.841,0,"M1-like","Cd52","up",Inf,"Cd52","23833"
"Lst1",0,1.34563546516848,0.942,0.898,0,"M1-like","Lst1","up",Inf,"Lst1","16988"
"Aif1",0,1.1388143730548,0.923,0.887,0,"M1-like","Aif1","up",Inf,"Aif1","11629"
"Ms4a6c",0,1.06752822666697,0.955,0.934,0,"M1-like","Ms4a6c","up",Inf,"Ms4a6c","73656"
"Aplp2",0,-0.731680766303493,0.664,0.905,0,"M1-like","Aplp2","down",Inf,"Aplp2","11804"
"Glul",0,-0.848191545493991,0.48,0.816,0,"M1-like","Glul","down",Inf,"Glul","14645"
"Ctsb",0,-0.918879463038802,0.983,0.998,0,"M1-like","Ctsb","down",Inf,"Ctsb","13030"
"ND1",0,-0.92778171206087,0.858,0.975,0,"M1-like","ND1","down",Inf,"ND1","17716"
"Psap",0,-0.928201250465899,0.966,0.994,0,"M1-like","Psap","down",Inf,"Psap","19156"
"Vat1",0,-0.936976235281126,0.383,0.779,0,"M1-like","Vat1","down",Inf,"Vat1","26949"
"Ltc4s",0,-0.957079315747854,0.048,0.452,0,"M1-like","Ltc4s","down",Inf,"Ltc4s","17001"
"Abca1",0,-0.962907842459464,0.82,0.977,0,"M1-like","Abca1","down",Inf,"Abca1","11303"
"Fam20c",0,-0.995605761863738,0.386,0.779,0,"M1-like","Fam20c","down",Inf,"Fam20c","80752"
"Mtss1",0,-1.10643320748471,0.464,0.854,0,"M1-like","Mtss1","down",Inf,"Mtss1","211401"
"Serpinb6a",0,-1.26739555566384,0.265,0.714,0,"M1-like","Serpinb6a","down",Inf,"Serpinb6a","20719"
"Ctsd",0,-1.33684972584565,0.921,0.986,0,"M1-like","Ctsd","down",Inf,"Ctsd","13033"
"Crip1",0,-1.3499168942611,0.899,0.977,0,"M1-like","Crip1","down",Inf,"Crip1","12925"
"Pmp22",0,-1.35084663639073,0.16,0.651,0,"M1-like","Pmp22","down",Inf,"Pmp22","18858"
"Timp2",0,-1.36526435379328,0.499,0.878,0,"M1-like","Timp2","down",Inf,"Timp2","21858"
"Hal",0,-1.45346147095121,0.269,0.684,0,"M1-like","Hal","down",Inf,"Hal","15109"
"Pf4",0,-1.90813279182315,0.386,0.757,0,"M1-like","Pf4","down",Inf,"Pf4","56744"
"Ms4a6b",2.40245149000151e-307,0.898359375550811,0.901,0.839,7.75631463546988e-303,"M1-like","Ms4a6b","up",624.930022865523,"Ms4a6b","69774"
