"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","regulation","rank","gene_SYMBOL","ENTREZID"
"Mrc1",0,2.00117750382494,0.82,0.337,0,"M2-like 1","Mrc1","up",Inf,"Mrc1","17533"
"Ccl6",0,1.94609740666563,0.906,0.732,0,"M2-like 1","Ccl6","up",Inf,"Ccl6","20305"
"Selenop",0,1.78961391521516,0.913,0.724,0,"M2-like 1","Selenop","up",Inf,"Selenop","20363"
"Timp2",0,1.49140768608234,0.923,0.528,0,"M2-like 1","Timp2","up",Inf,"Timp2","21858"
"Ctsd",0,1.46055774056059,0.986,0.93,0,"M2-like 1","Ctsd","up",Inf,"Ctsd","13033"
"Serpinb6a",0,1.25893980283547,0.757,0.305,0,"M2-like 1","Serpinb6a","up",Inf,"Serpinb6a","20719"
"Cd63",0,1.19643434355846,0.845,0.515,0,"M2-like 1","Cd63","up",Inf,"Cd63","12512"
"Wwp1",0,1.17742154388183,0.804,0.483,0,"M2-like 1","Wwp1","up",Inf,"Wwp1","107568"
"Ctsb",0,1.15608724925464,0.999,0.985,0,"M2-like 1","Ctsb","up",Inf,"Ctsb","13030"
"Dab2",0,1.10429979999987,0.88,0.56,0,"M2-like 1","Dab2","up",Inf,"Dab2","13132"
"Mtss1",0,1.06593030557327,0.882,0.503,0,"M2-like 1","Mtss1","up",Inf,"Mtss1","211401"
"Psap",0,1.04422100980277,0.993,0.97,0,"M2-like 1","Psap","up",Inf,"Psap","19156"
"Cbr2",0,1.0009437670015,0.506,0.136,0,"M2-like 1","Cbr2","up",Inf,"Cbr2","12409"
"Eps8",0,0.993642787424248,0.725,0.291,0,"M2-like 1","Eps8","up",Inf,"Eps8","13860"
"Rnf150",0,0.979092487557899,0.533,0.125,0,"M2-like 1","Rnf150","up",Inf,"Rnf150","330812"
"Nrp1",0,0.95962031771342,0.835,0.424,0,"M2-like 1","Nrp1","up",Inf,"Nrp1","18186"
"Vat1",0,0.937419653268732,0.793,0.432,0,"M2-like 1","Vat1","up",Inf,"Vat1","26949"
