"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033674","GO:0033674","positive regulation of kinase activity","2/2","440/28943",0.000230592465557602,0.0134465925466213,NA,"Il1b/Lmo4",2
"GO:1903596","GO:1903596","regulation of gap junction assembly","1/2","10/28943",0.00069090593001353,0.0134465925466213,NA,"Il1b",1
"GO:0031620","GO:0031620","regulation of fever generation","1/2","11/28943",0.000759983391325658,0.0134465925466213,NA,"Il1b",1
"GO:0035744","GO:0035744","T-helper 1 cell cytokine production","1/2","11/28943",0.000759983391325658,0.0134465925466213,NA,"Il1b",1
"GO:2001280","GO:2001280","positive regulation of unsaturated fatty acid biosynthetic process","1/2","11/28943",0.000759983391325658,0.0134465925466213,NA,"Il1b",1
"GO:0031392","GO:0031392","regulation of prostaglandin biosynthetic process","1/2","12/28943",0.000829058465057875,0.0134465925466213,NA,"Il1b",1
"GO:0021527","GO:0021527","spinal cord association neuron differentiation","1/2","13/28943",0.000898131151209958,0.0134465925466213,NA,"Lmo4",1
"GO:0031652","GO:0031652","positive regulation of heat generation","1/2","13/28943",0.000898131151209958,0.0134465925466213,NA,"Il1b",1
"GO:0032725","GO:0032725","positive regulation of granulocyte macrophage colony-stimulating factor production","1/2","13/28943",0.000898131151209958,0.0134465925466213,NA,"Il1b",1
"GO:0001660","GO:0001660","fever generation","1/2","14/28943",0.00096720144978224,0.0134465925466213,NA,"Il1b",1
"GO:0021514","GO:0021514","ventral spinal cord interneuron differentiation","1/2","14/28943",0.00096720144978224,0.0134465925466213,NA,"Lmo4",1
"GO:0034116","GO:0034116","positive regulation of heterotypic cell-cell adhesion","1/2","14/28943",0.00096720144978224,0.0134465925466213,NA,"Il1b",1
"GO:0048711","GO:0048711","positive regulation of astrocyte differentiation","1/2","14/28943",0.00096720144978224,0.0134465925466213,NA,"Il1b",1
