"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042060","GO:0042060","wound healing","5/14","380/28943",6.90160044380554e-07,0.00027416429269208,0.000121245777900238,"Pf4/Cd36/Fn1/Gpx1/Pdpn",5
"GO:0007596","GO:0007596","blood coagulation","4/14","177/28943",1.29008843793572e-06,0.00027416429269208,0.000121245777900238,"Pf4/Cd36/Fn1/Pdpn",4
"GO:0007599","GO:0007599","hemostasis","4/14","180/28943",1.37944298209851e-06,0.00027416429269208,0.000121245777900238,"Pf4/Cd36/Fn1/Pdpn",4
"GO:0050817","GO:0050817","coagulation","4/14","180/28943",1.37944298209851e-06,0.00027416429269208,0.000121245777900238,"Pf4/Cd36/Fn1/Pdpn",4
"GO:0030168","GO:0030168","platelet activation","3/14","95/28943",1.21465798670404e-05,0.00193130619885942,0.000854096352756103,"Pf4/Fn1/Pdpn",3
"GO:0009636","GO:0009636","response to toxic substance","3/14","122/28943",2.5709867431974e-05,0.00259933316483698,0.00114952304145058,"Cd36/Mt1/Gpx1",3
"GO:0001676","GO:0001676","long-chain fatty acid metabolic process","3/14","123/28943",2.6345094113406e-05,0.00259933316483698,0.00114952304145058,"Ltc4s/Cd36/Gpx1",3
"GO:0050878","GO:0050878","regulation of body fluid levels","4/14","381/28943",2.6654783473787e-05,0.00259933316483698,0.00114952304145058,"Pf4/Cd36/Fn1/Pdpn",4
"GO:0033194","GO:0033194","response to hydroperoxide","2/14","17/28943",2.94264131868337e-05,0.00259933316483698,0.00114952304145058,"Cd36/Gpx1",2
"GO:0006690","GO:0006690","icosanoid metabolic process","3/14","142/28943",4.04510426215871e-05,0.00321585788841617,0.00142217349848527,"Ltc4s/Gpx1/Pdpn",3
"GO:0006631","GO:0006631","fatty acid metabolic process","4/14","453/28943",5.23425442826218e-05,0.00378293842769858,0.00167295787467901,"Ltc4s/Cd36/Gpx1/Pdpn",4
"GO:0001667","GO:0001667","ameboidal-type cell migration","4/14","471/28943",6.08959399831947e-05,0.00396080148625047,0.00175161561920908,"Pmp22/Sash1/Fn1/Gpx1",4
"GO:0007263","GO:0007263","nitric oxide mediated signal transduction","2/14","25/28943",6.47678230456052e-05,0.00396080148625047,0.00175161561920908,"Cd36/Mt1",2
"GO:0010043","GO:0010043","response to zinc ion","2/14","36/28943",0.0001355995314084,0.00770011624783414,0.00340528146544403,"Crip1/Mt1",2
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","3/14","225/28943",0.000158393269455665,0.00839484328115024,0.00371251592969769,"Cd36/Fn1/Pdpn",3
"GO:0048741","GO:0048741","skeletal muscle fiber development","2/14","48/28943",0.000241983883408465,0.0120235742068581,0.00531727743805442,"Pmp22/Gpx1",2
"GO:0014904","GO:0014904","myotube cell development","2/14","54/28943",0.000306476292466808,0.0135932081075492,0.00601142867649313,"Pmp22/Gpx1",2
"GO:0070527","GO:0070527","platelet aggregation","2/14","55/28943",0.000317953561254261,0.0135932081075492,0.00601142867649313,"Fn1/Pdpn",2
"GO:0098754","GO:0098754","detoxification","2/14","58/28943",0.000353630785518153,0.0135932081075492,0.00601142867649313,"Cd36/Mt1",2
"GO:0010038","GO:0010038","response to metal ion","3/14","296/28943",0.000354529274689685,0.0135932081075492,0.00601142867649313,"Crip1/Mt1/Fn1",3
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","3/14","304/28943",0.000383284431373312,0.0135932081075492,0.00601142867649313,"Pf4/Cd36/Sash1",3
"GO:0045765","GO:0045765","regulation of angiogenesis","3/14","308/28943",0.000398209859176524,0.0135932081075492,0.00601142867649313,"Cd36/Ecm1/Sash1",3
"GO:1901342","GO:1901342","regulation of vasculature development","3/14","312/28943",0.000413505811058393,0.0135932081075492,0.00601142867649313,"Cd36/Ecm1/Sash1",3
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","3/14","314/28943",0.000421293966186475,0.0135932081075492,0.00601142867649313,"Pf4/Cd36/Sash1",3
"GO:0030198","GO:0030198","extracellular matrix organization","3/14","322/28943",0.00045339255019556,0.0135932081075492,0.00601142867649313,"Pmp22/Fn1/Pdpn",3
"GO:0043062","GO:0043062","extracellular structure organization","3/14","323/28943",0.000457512299829089,0.0135932081075492,0.00601142867649313,"Pmp22/Fn1/Pdpn",3
"GO:0045229","GO:0045229","external encapsulating structure organization","3/14","324/28943",0.000461656124407332,0.0135932081075492,0.00601142867649313,"Pmp22/Fn1/Pdpn",3
"GO:0008347","GO:0008347","glial cell migration","2/14","70/28943",0.000514937277133035,0.0145644168520997,0.00644093376842277,"Pmp22/Fn1",2
"GO:0071216","GO:0071216","cellular response to biotic stimulus","3/14","340/28943",0.000531280614730681,0.0145644168520997,0.00644093376842277,"Pf4/Cd36/Sash1",3
"GO:0031589","GO:0031589","cell-substrate adhesion","3/14","371/28943",0.000684669560439132,0.018143743351637,0.00802384677847965,"Cd36/Fn1/Pdpn",3
"GO:0034109","GO:0034109","homotypic cell-cell adhesion","2/14","84/28943",0.000740431281787447,0.0189884796458394,0.00839742098869295,"Fn1/Pdpn",2
"GO:0032496","GO:0032496","response to lipopolysaccharide","3/14","386/28943",0.000768060127371405,0.0190814937893833,0.00843855534677793,"Pf4/Cd36/Sash1",3
"GO:0030500","GO:0030500","regulation of bone mineralization","2/14","88/28943",0.000812174584544861,0.0195660240822171,0.00865283289435354,"Fam20c/Ecm1",2
"GO:1900407","GO:1900407","regulation of cellular response to oxidative stress","2/14","90/28943",0.000849258764993688,0.0197718547340732,0.00874385896217206,"Cd36/Gpx1",2
"GO:0097581","GO:0097581","lamellipodium organization","2/14","92/28943",0.00088714946974009,0.0197718547340732,0.00874385896217206,"Pmp22/Pdpn",2
"GO:0002237","GO:0002237","response to molecule of bacterial origin","3/14","407/28943",0.000895329270976899,0.0197718547340732,0.00874385896217206,"Pf4/Cd36/Sash1",3
"GO:1902882","GO:1902882","regulation of response to oxidative stress","2/14","99/28943",0.0010260985595884,0.0220472528343994,0.00975012571557681,"Cd36/Gpx1",2
"GO:0070167","GO:0070167","regulation of biomineral tissue development","2/14","107/28943",0.00119689975802079,0.0246766169739279,0.0109129295852922,"Fam20c/Ecm1",2
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","2/14","109/28943",0.00124159079114103,0.0246766169739279,0.0109129295852922,"Fn1/Pdpn",2
"GO:0110149","GO:0110149","regulation of biomineralization","2/14","109/28943",0.00124159079114103,0.0246766169739279,0.0109129295852922,"Fam20c/Ecm1",2
"GO:0006641","GO:0006641","triglyceride metabolic process","2/14","112/28943",0.00131011487829306,0.0254034470303167,0.0112343612156581,"Cd36/Gpx1",2
"GO:0045446","GO:0045446","endothelial cell differentiation","2/14","120/28943",0.00150154042075773,0.0277610380116837,0.0122769767572358,"Gpx1/Pdpn",2
"GO:0051702","GO:0051702","biological process involved in interaction with symbiont","2/14","120/28943",0.00150154042075773,0.0277610380116837,0.0122769767572358,"Fn1/Gpx1",2
"GO:0030282","GO:0030282","bone mineralization","2/14","131/28943",0.00178527117532018,0.0322566041904442,0.0142650854678694,"Fam20c/Ecm1",2
"GO:0033559","GO:0033559","unsaturated fatty acid metabolic process","2/14","133/28943",0.0018393961088822,0.0324959979235855,0.0143709543945416,"Gpx1/Pdpn",2
"GO:0003158","GO:0003158","endothelium development","2/14","138/28943",0.00197810677256302,0.0334594656210127,0.0147970361038308,"Gpx1/Pdpn",2
