"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042060","GO:0042060","wound healing","20/144","380/28943",4.8378577817203e-15,1.55682263415759e-11,9.27850197715198e-12,"Pf4/Ahnak/Fn1/Cd36/Gas6/Igf1/Pdpn/Gpx1/Cfh/Anxa2/Plec/Cd9/Anxa5/F13a1/Hmox1/Cav1/S100a10/Anxa1/Apoe/Mmp12",20
"GO:0050900","GO:0050900","leukocyte migration","18/144","385/28943",9.09368293074524e-13,1.46317358355691e-09,8.72036331569359e-10,"Pf4/Ccl6/Eps8/Ecm1/Gas6/Trem2/Fcgr3/Plec/Cd9/Ednrb/Bst1/Ccl9/Cxcl1/Anxa1/Lgals3/Spp1/Cxcl3/Ccl8",18
"GO:1905954","GO:1905954","positive regulation of lipid localization","12/144","124/28943",1.42874240654526e-12,1.53256435475422e-09,9.13392513938761e-10,"Abca1/Cd36/Lrp1/Trem2/Dab2/Anxa2/Pltp/Plin2/Cav1/Lpl/Spp1/Apoe",12
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","17/144","350/28943",2.21276390261042e-12,1.78016855965008e-09,1.06096206067268e-09,"Ccl6/Fn1/Cd36/Dusp3/Pdgfc/Gas6/Lrp1/Igf1/Trem2/Dab2/Nrp1/Cav1/Ccl9/Trf/Gpnmb/Apoe/Ccl8",17
"GO:0070372","GO:0070372","regulation of ERK1 and ERK2 cascade","16/144","326/28943",8.71541375638315e-12,5.07541985902447e-09,3.02489777342664e-09,"Ccl6/Fn1/Cd36/Dusp3/Pdgfc/Gas6/Lrp1/Igf1/Trem2/Dab2/Nrp1/Cav1/Ccl9/Gpnmb/Apoe/Ccl8",16
"GO:0030595","GO:0030595","leukocyte chemotaxis","14/144","228/28943",9.46318183783307e-12,5.07541985902447e-09,3.02489777342664e-09,"Pf4/Ccl6/Gas6/Fcgr3/Plec/Ednrb/Bst1/Ccl9/Cxcl1/Anxa1/Lgals3/Spp1/Cxcl3/Ccl8",14
"GO:1905952","GO:1905952","regulation of lipid localization","13/144","187/28943",1.13007803391911e-11,5.19513016164527e-09,3.0962438763919e-09,"Abca1/Cd36/Lrp1/Trem2/Dab2/Anxa2/Pltp/Furin/Plin2/Cav1/Lpl/Spp1/Apoe",13
"GO:0097529","GO:0097529","myeloid leukocyte migration","14/144","243/28943",2.22386962003779e-11,8.9068392010248e-09,5.30838409743456e-09,"Pf4/Ccl6/Trem2/Fcgr3/Cd9/Ednrb/Bst1/Ccl9/Cxcl1/Anxa1/Lgals3/Spp1/Cxcl3/Ccl8",14
"GO:0010876","GO:0010876","lipid localization","18/144","470/28943",2.4910364452835e-11,8.9068392010248e-09,5.30838409743456e-09,"Psap/Abca1/Cd36/Hexa/Lrp1/Trem2/Dab2/Anxa2/Pltp/Furin/Osbpl9/Plin2/Cav1/Anxa1/Lpl/Fabp5/Spp1/Apoe",18
"GO:0071621","GO:0071621","granulocyte chemotaxis","11/144","129/28943",5.06146513879933e-11,1.55239928263579e-08,9.25213925930593e-09,"Pf4/Ccl6/Fcgr3/Bst1/Ccl9/Cxcl1/Anxa1/Lgals3/Spp1/Cxcl3/Ccl8",11
