"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042060","BP","GO:0042060","wound healing","20/144","380/28943",4.8378577817203e-15,1.55682263415759e-11,9.27850197715198e-12,"Pf4/Ahnak/Fn1/Cd36/Gas6/Igf1/Pdpn/Gpx1/Cfh/Anxa2/Plec/Cd9/Anxa5/F13a1/Hmox1/Cav1/S100a10/Anxa1/Apoe/Mmp12",20
"GO:0050900","BP","GO:0050900","leukocyte migration","18/144","385/28943",9.09368293074524e-13,1.46317358355691e-09,8.72036331569359e-10,"Pf4/Ccl6/Eps8/Ecm1/Gas6/Trem2/Fcgr3/Plec/Cd9/Ednrb/Bst1/Ccl9/Cxcl1/Anxa1/Lgals3/Spp1/Cxcl3/Ccl8",18
"GO:1905954","BP","GO:1905954","positive regulation of lipid localization","12/144","124/28943",1.42874240654526e-12,1.53256435475422e-09,9.13392513938761e-10,"Abca1/Cd36/Lrp1/Trem2/Dab2/Anxa2/Pltp/Plin2/Cav1/Lpl/Spp1/Apoe",12
"GO:0070371","BP","GO:0070371","ERK1 and ERK2 cascade","17/144","350/28943",2.21276390261042e-12,1.78016855965008e-09,1.06096206067268e-09,"Ccl6/Fn1/Cd36/Dusp3/Pdgfc/Gas6/Lrp1/Igf1/Trem2/Dab2/Nrp1/Cav1/Ccl9/Trf/Gpnmb/Apoe/Ccl8",17
"GO:0070372","BP","GO:0070372","regulation of ERK1 and ERK2 cascade","16/144","326/28943",8.71541375638315e-12,5.07541985902447e-09,3.02489777342664e-09,"Ccl6/Fn1/Cd36/Dusp3/Pdgfc/Gas6/Lrp1/Igf1/Trem2/Dab2/Nrp1/Cav1/Ccl9/Gpnmb/Apoe/Ccl8",16
"GO:0030595","BP","GO:0030595","leukocyte chemotaxis","14/144","228/28943",9.46318183783307e-12,5.07541985902447e-09,3.02489777342664e-09,"Pf4/Ccl6/Gas6/Fcgr3/Plec/Ednrb/Bst1/Ccl9/Cxcl1/Anxa1/Lgals3/Spp1/Cxcl3/Ccl8",14
"GO:1905952","BP","GO:1905952","regulation of lipid localization","13/144","187/28943",1.13007803391911e-11,5.19513016164527e-09,3.0962438763919e-09,"Abca1/Cd36/Lrp1/Trem2/Dab2/Anxa2/Pltp/Furin/Plin2/Cav1/Lpl/Spp1/Apoe",13
"GO:0097529","BP","GO:0097529","myeloid leukocyte migration","14/144","243/28943",2.22386962003779e-11,8.9068392010248e-09,5.30838409743456e-09,"Pf4/Ccl6/Trem2/Fcgr3/Cd9/Ednrb/Bst1/Ccl9/Cxcl1/Anxa1/Lgals3/Spp1/Cxcl3/Ccl8",14
"GO:0010876","BP","GO:0010876","lipid localization","18/144","470/28943",2.4910364452835e-11,8.9068392010248e-09,5.30838409743456e-09,"Psap/Abca1/Cd36/Hexa/Lrp1/Trem2/Dab2/Anxa2/Pltp/Furin/Osbpl9/Plin2/Cav1/Anxa1/Lpl/Fabp5/Spp1/Apoe",18
"GO:0071621","BP","GO:0071621","granulocyte chemotaxis","11/144","129/28943",5.06146513879933e-11,1.55239928263579e-08,9.25213925930593e-09,"Pf4/Ccl6/Fcgr3/Bst1/Ccl9/Cxcl1/Anxa1/Lgals3/Spp1/Cxcl3/Ccl8",11
"GO:0022904","BP","GO:0022904","respiratory electron transport chain","10/144","96/28943",5.30652334027151e-11,1.55239928263579e-08,9.25213925930593e-09,"ND1/COX1/COX2/ND4/COX3/ND3/ND2/Plec/CYTB/ND5",10
"GO:0060326","BP","GO:0060326","cell chemotaxis","15/144","314/28943",5.89757387126783e-11,1.58153272647832e-08,9.42577157320174e-09,"Pf4/Ccl6/Gas6/Fcgr3/Plec/Nrp1/Ednrb/Bst1/Ccl9/Cxcl1/Anxa1/Lgals3/Spp1/Cxcl3/Ccl8",15
"GO:0007596","BP","GO:0007596","blood coagulation","12/144","177/28943",9.67021921002277e-11,2.10212059722599e-08,1.25284214718058e-08,"Pf4/Fn1/Cd36/Gas6/Pdpn/Cfh/Anxa2/Cd9/Anxa5/F13a1/Cav1/Apoe",12
"GO:0042773","BP","GO:0042773","ATP synthesis coupled electron transport","9/144","73/28943",1.07487043577594e-10,2.10212059722599e-08,1.25284214718058e-08,"ND1/COX1/COX2/ND4/COX3/ND3/ND2/CYTB/ND5",9
"GO:0030593","BP","GO:0030593","neutrophil chemotaxis","10/144","103/28943",1.07754110683179e-10,2.10212059722599e-08,1.25284214718058e-08,"Pf4/Ccl6/Fcgr3/Bst1/Ccl9/Cxcl1/Lgals3/Spp1/Cxcl3/Ccl8",10
"GO:0010810","BP","GO:0010810","regulation of cell-substrate adhesion","13/144","225/28943",1.14757205904487e-10,2.10212059722599e-08,1.25284214718058e-08,"Fn1/Cd36/St6gal1/Dusp3/Lrp1/Adam15/Pdpn/Dab2/Nrp1/S100a10/Bst1/Spp1/Mmp12",13
"GO:0007599","BP","GO:0007599","hemostasis","12/144","180/28943",1.17582879894555e-10,2.10212059722599e-08,1.25284214718058e-08,"Pf4/Fn1/Cd36/Gas6/Pdpn/Cfh/Anxa2/Cd9/Anxa5/F13a1/Cav1/Apoe",12
"GO:0050817","BP","GO:0050817","coagulation","12/144","180/28943",1.17582879894555e-10,2.10212059722599e-08,1.25284214718058e-08,"Pf4/Fn1/Cd36/Gas6/Pdpn/Cfh/Anxa2/Cd9/Anxa5/F13a1/Cav1/Apoe",12
"GO:0022900","BP","GO:0022900","electron transport chain","10/144","107/28943",1.57806696354292e-10,2.67274709930586e-08,1.59292964408599e-08,"ND1/COX1/COX2/ND4/COX3/ND3/ND2/Plec/CYTB/ND5",10
"GO:0001667","BP","GO:0001667","ameboidal-type cell migration","17/144","471/28943",2.30012605934338e-10,3.7009028294835e-08,2.20569983164402e-08,"Glul/Pmp22/Tns1/Fn1/Cd63/Anxa3/Igf1/Sash1/Gpx1/Plec/Nrp1/Hmox1/Ednrb/Rhob/Anxa1/Apoe/Mmp12",17
"GO:0015850","BP","GO:0015850","organic hydroxy compound transport","14/144","294/28943",2.76252874803825e-10,4.23324643389861e-08,2.52297111725598e-08,"Abca1/Cd36/Lrp1/Trem2/Dab2/Fcgr3/Anxa2/Pltp/Furin/Myo5a/Cav1/Lgals3/Spp1/Apoe",14
"GO:0006869","BP","GO:0006869","lipid transport","16/144","419/28943",3.55775720333257e-10,5.20402849105646e-08,3.10154718874256e-08,"Psap/Abca1/Cd36/Lrp1/Trem2/Dab2/Anxa2/Pltp/Furin/Osbpl9/Plin2/Cav1/Anxa1/Fabp5/Spp1/Apoe",16
"GO:0019646","BP","GO:0019646","aerobic electron transport chain","8/144","57/28943",4.15040937088828e-10,5.80696406761674e-08,3.46089056007252e-08,"ND1/COX1/ND4/COX3/ND3/ND2/CYTB/ND5",8
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","15/144","371/28943",5.97173515060688e-10,8.00710154777206e-08,4.7721497563183e-08,"Fn1/Cd36/St6gal1/Cd63/Dusp3/Gas6/Lrp1/Adam15/Pdpn/Dab2/Nrp1/S100a10/Bst1/Spp1/Mmp12",15
"GO:0097530","BP","GO:0097530","granulocyte migration","11/144","163/28943",6.31104012494024e-10,8.12357084882308e-08,4.84156425584889e-08,"Pf4/Ccl6/Fcgr3/Bst1/Ccl9/Cxcl1/Anxa1/Lgals3/Spp1/Cxcl3/Ccl8",11
"GO:1990266","BP","GO:1990266","neutrophil migration","10/144","133/28943",1.35807158953823e-09,1.68087475966694e-07,1.00178398224237e-07,"Pf4/Ccl6/Fcgr3/Bst1/Ccl9/Cxcl1/Lgals3/Spp1/Cxcl3/Ccl8",10
"GO:0015980","BP","GO:0015980","energy derivation by oxidation of organic compounds","14/144","337/28943",1.62237118430609e-09,1.93362610040629e-07,1.15242116873516e-07,"ND1/COX1/Idh1/COX2/Cd36/ND4/COX3/Igf1/ND3/ND2/ATP6/Plec/CYTB/ND5",14
"GO:0070374","BP","GO:0070374","positive regulation of ERK1 and ERK2 cascade","12/144","227/28943",1.68824034713043e-09,1.94027051323776e-07,1.15638117010212e-07,"Ccl6/Cd36/Pdgfc/Gas6/Lrp1/Igf1/Trem2/Nrp1/Ccl9/Gpnmb/Apoe/Ccl8",12
"GO:0032370","BP","GO:0032370","positive regulation of lipid transport","9/144","101/28943",2.05538332869215e-09,2.26553668101877e-07,1.35023644395545e-07,"Abca1/Lrp1/Trem2/Dab2/Anxa2/Pltp/Cav1/Spp1/Apoe",9
"GO:0006979","BP","GO:0006979","response to oxidative stress","15/144","407/28943",2.11206029927169e-09,2.26553668101877e-07,1.35023644395545e-07,"ND1/Psap/COX1/Idh1/Cd36/ND3/Trem2/Aldh2/Gpx1/Hmox1/Dapk1/Rhob/Prdx1/Anxa1/Apoe",15
"GO:0006119","BP","GO:0006119","oxidative phosphorylation","10/144","140/28943",2.24168844886697e-09,2.32701723498513e-07,1.38687821861991e-07,"ND1/COX1/COX2/ND4/COX3/ND3/ND2/ATP6/CYTB/ND5",10
"GO:0042775","BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","8/144","71/28943",2.52031552583806e-09,2.5344923006709e-07,1.51053121318321e-07,"ND1/COX1/ND4/COX3/ND3/ND2/CYTB/ND5",8
"GO:0009060","BP","GO:0009060","aerobic respiration","11/144","187/28943",2.70317964476753e-09,2.57876113999049e-07,1.53691498382868e-07,"ND1/COX1/Idh1/COX2/ND4/COX3/ND3/ND2/ATP6/CYTB/ND5",11
"GO:0032371","BP","GO:0032371","regulation of sterol transport","8/144","72/28943",2.82352593007643e-09,2.57876113999049e-07,1.53691498382868e-07,"Abca1/Lrp1/Trem2/Anxa2/Pltp/Furin/Cav1/Apoe",8
"GO:0032374","BP","GO:0032374","regulation of cholesterol transport","8/144","72/28943",2.82352593007643e-09,2.57876113999049e-07,1.53691498382868e-07,"Abca1/Lrp1/Trem2/Anxa2/Pltp/Furin/Cav1/Apoe",8
"GO:0032373","BP","GO:0032373","positive regulation of sterol transport","7/144","46/28943",2.96501436232592e-09,2.57876113999049e-07,1.53691498382868e-07,"Abca1/Lrp1/Trem2/Anxa2/Pltp/Cav1/Apoe",7
"GO:0032376","BP","GO:0032376","positive regulation of cholesterol transport","7/144","46/28943",2.96501436232592e-09,2.57876113999049e-07,1.53691498382868e-07,"Abca1/Lrp1/Trem2/Anxa2/Pltp/Cav1/Apoe",7
"GO:0045333","BP","GO:0045333","cellular respiration","12/144","245/28943",3.99647290462985e-09,3.38438152818391e-07,2.01705640782149e-07,"ND1/COX1/Idh1/COX2/ND4/COX3/ND3/ND2/ATP6/Plec/CYTB/ND5",12
"GO:1901652","BP","GO:1901652","response to peptide","15/144","430/28943",4.43470366610333e-09,3.65919907628731e-07,2.18084482581384e-07,"Cd36/Lrp1/Igf1/Trem2/Bcar3/Cacna1a/Dennd4c/Anxa5/CYTB/Myo5a/Ednrb/Cav1/Vim/Anxa1/Lpl",15
"GO:0030301","BP","GO:0030301","cholesterol transport","9/144","112/28943",5.16358238005992e-09,4.15410202475821e-07,2.47580186749189e-07,"Abca1/Cd36/Lrp1/Trem2/Anxa2/Pltp/Furin/Cav1/Apoe",9
"GO:0032368","BP","GO:0032368","regulation of lipid transport","10/144","157/28943",6.80704453944949e-09,5.34269983608499e-07,3.18419387699024e-07,"Abca1/Lrp1/Trem2/Dab2/Anxa2/Pltp/Furin/Cav1/Spp1/Apoe",10
"GO:0015918","BP","GO:0015918","sterol transport","9/144","116/28943",7.04494632608353e-09,5.39777078031828e-07,3.21701559050731e-07,"Abca1/Cd36/Lrp1/Trem2/Anxa2/Pltp/Furin/Cav1/Apoe",9
"GO:0050878","BP","GO:0050878","regulation of body fluid levels","14/144","381/28943",7.75418420450373e-09,5.80301506281233e-07,3.45853699402835e-07,"Pf4/Fn1/Cd36/Gas6/Pdpn/Cfh/Anxa2/Plec/Cd9/Anxa5/F13a1/Ednrb/Cav1/Apoe",14
"GO:0007009","BP","GO:0007009","plasma membrane organization","10/144","161/28943",8.67199201025822e-09,6.34237961113885e-07,3.77999268963887e-07,"Psap/Mtss1/Ahnak/Anxa2/Plec/Sptbn1/Cd9/Folr2/Cav1/S100a10",10
"GO:0010875","BP","GO:0010875","positive regulation of cholesterol efflux","6/144","32/28943",1.112535260395e-08,7.95586326211361e-07,4.7416122676952e-07,"Abca1/Lrp1/Trem2/Pltp/Cav1/Apoe",6
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","15/144","465/28943",1.26102217261127e-08,8.82167250318061e-07,5.25762562585295e-07,"ND1/COX1/Idh1/COX2/Cd36/ND4/COX3/Igf1/ND3/ND2/ATP6/Plec/CYTB/Myo5a/ND5",15
"GO:0009141","BP","GO:0009141","nucleoside triphosphate metabolic process","12/144","275/28943",1.45136024826013e-08,9.93718569978957e-07,5.92245996042543e-07,"ND1/Fam20c/COX2/ND4/Igf1/ND3/ND2/Trem2/Smpdl3a/ATP6/Cfh/ND5",12
"GO:0045807","BP","GO:0045807","positive regulation of endocytosis","9/144","127/28943",1.56374387301871e-08,1.04835995486963e-06,6.248116966316e-07,"Cd36/Cd63/Lrp1/Trem2/Dab2/Anxa2/Cav1/Trf/Apoe",9
"GO:0062197","BP","GO:0062197","cellular response to chemical stress","13/144","340/28943",1.70702413499067e-08,1.12106197273469e-06,6.6814134778797e-07,"Psap/Serpinb6a/Cd36/Trem2/Aldh2/Gpx1/Plec/Hmox1/Dapk1/Rhob/Cav1/Prdx1/Anxa1",13
"GO:0046034","BP","GO:0046034","ATP metabolic process","11/144","224/28943",1.77148803509196e-08,1.14012969938519e-06,6.79505515776328e-07,"ND1/Fam20c/COX2/ND4/Igf1/ND3/ND2/Trem2/ATP6/Cfh/ND5",11
"GO:0070098","BP","GO:0070098","chemokine-mediated signaling pathway","7/144","63/28943",2.85636499685353e-08,1.79438157566359e-06,1.06943287130256e-06,"Pf4/Ccl6/Trem2/Ccl9/Cxcl1/Cxcl3/Ccl8",7
"GO:0003018","BP","GO:0003018","vascular process in circulatory system","11/144","235/28943",2.89956003525503e-08,1.79438157566359e-06,1.06943287130256e-06,"Cd36/Lrp1/Tbxas1/Gpx1/Plec/Add3/Ednrb/Cav1/Klf2/Fabp5/Apoe",11
"GO:0097006","BP","GO:0097006","regulation of plasma lipoprotein particle levels","7/144","68/28943",4.90234102699225e-08,2.97655347638888e-06,1.77399510450444e-06,"Abca1/Cd36/Trem2/Anxa2/Pltp/Lpl/Apoe",7
"GO:0009205","BP","GO:0009205","purine ribonucleoside triphosphate metabolic process","11/144","251/28943",5.67971531896862e-08,3.38468961045204e-06,2.01724002166878e-06,"ND1/Fam20c/COX2/ND4/Igf1/ND3/ND2/Trem2/ATP6/Cfh/ND5",11
"GO:0006754","BP","GO:0006754","ATP biosynthetic process","8/144","106/28943",6.17205186702183e-08,3.61121143783205e-06,2.15224468932321e-06,"ND1/COX2/ND4/ND3/ND2/Trem2/ATP6/ND5",8
"GO:0010874","BP","GO:0010874","regulation of cholesterol efflux","6/144","43/28943",7.15545497351047e-08,4.00516041816781e-06,2.38703420951286e-06,"Abca1/Lrp1/Trem2/Pltp/Cav1/Apoe",6
"GO:0009144","BP","GO:0009144","purine nucleoside triphosphate metabolic process","11/144","257/28943",7.21874780154546e-08,4.00516041816781e-06,2.38703420951286e-06,"ND1/Fam20c/COX2/ND4/Igf1/ND3/ND2/Trem2/ATP6/Cfh/ND5",11
"GO:0009199","BP","GO:0009199","ribonucleoside triphosphate metabolic process","11/144","257/28943",7.21874780154546e-08,4.00516041816781e-06,2.38703420951286e-06,"ND1/Fam20c/COX2/ND4/Igf1/ND3/ND2/Trem2/ATP6/Cfh/ND5",11
"GO:1990868","BP","GO:1990868","response to chemokine","7/144","73/28943",8.07051750306049e-08,4.32184100476713e-06,2.57577256572755e-06,"Pf4/Ccl6/Trem2/Ccl9/Cxcl1/Cxcl3/Ccl8",7
"GO:1990869","BP","GO:1990869","cellular response to chemokine","7/144","73/28943",8.07051750306049e-08,4.32184100476713e-06,2.57577256572755e-06,"Pf4/Ccl6/Trem2/Ccl9/Cxcl1/Cxcl3/Ccl8",7
"GO:1901653","BP","GO:1901653","cellular response to peptide","12/144","322/28943",8.19242701338703e-08,4.32184100476713e-06,2.57577256572755e-06,"Cd36/Lrp1/Igf1/Trem2/Bcar3/Cacna1a/Dennd4c/Anxa5/Myo5a/Cav1/Vim/Lpl",12
"GO:0034405","BP","GO:0034405","response to fluid shear stress","5/144","24/28943",1.11976252142062e-07,5.81192869988961e-06,3.46384942958977e-06,"Abca1/Mtss1/Plec/Klf2/Spp1",5
"GO:0044403","BP","GO:0044403","biological process involved in symbiotic interaction","11/144","272/28943",1.28001235264358e-07,6.53822182667782e-06,3.89671262575872e-06,"Ctsb/Fn1/Ctsl/Gas6/Arg1/Gpx1/Nrp1/Cav1/Cxcl1/Apoe/Ccl8",11
"GO:0009206","BP","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","8/144","117/28943",1.33294906287313e-07,6.70223450675898e-06,3.99446248775469e-06,"ND1/COX2/ND4/ND3/ND2/Trem2/ATP6/ND5",8
"GO:0006898","BP","GO:0006898","receptor-mediated endocytosis","11/144","274/28943",1.37785295031793e-07,6.82143199095859e-06,4.06550295624172e-06,"Mrc1/Cd36/Ctsl/Cd63/Lrp1/Dab2/Anxa2/Cd9/Cav1/Trf/Apoe",11
"GO:0009145","BP","GO:0009145","purine nucleoside triphosphate biosynthetic process","8/144","118/28943",1.42393223480689e-07,6.94274838122512e-06,4.13780627084236e-06,"ND1/COX2/ND4/ND3/ND2/Trem2/ATP6/ND5",8
"GO:0009201","BP","GO:0009201","ribonucleoside triphosphate biosynthetic process","8/144","122/28943",1.84325191845649e-07,8.85311145312386e-06,5.27636291504749e-06,"ND1/COX2/ND4/ND3/ND2/Trem2/ATP6/ND5",8
"GO:0043254","BP","GO:0043254","regulation of protein-containing complex assembly","13/144","425/28943",2.27216249398044e-07,1.07526748612192e-05,6.40848307125751e-06,"Abca1/Eps8/Gda/Cd36/Trem2/Rhoc/Sptbn1/Add3/Tppp3/Cav1/Stxbp6/Lgals3/Apoe",13
"GO:0010594","BP","GO:0010594","regulation of endothelial cell migration","9/144","176/28943",2.60507588344098e-07,1.21494698448015e-05,7.24095844337065e-06,"Glul/Anxa3/Igf1/Sash1/Nrp1/Hmox1/Rhob/Anxa1/Apoe",9
"GO:0001952","BP","GO:0001952","regulation of cell-matrix adhesion","8/144","128/28943",2.66916036193995e-07,1.22705114924611e-05,7.31309801421742e-06,"Cd36/Dusp3/Lrp1/Adam15/Nrp1/S100a10/Bst1/Mmp12",8
"GO:0007160","BP","GO:0007160","cell-matrix adhesion","10/144","233/28943",2.82125478528247e-07,1.27870392944211e-05,7.62094324504769e-06,"Fn1/Cd36/Cd63/Dusp3/Lrp1/Adam15/Nrp1/S100a10/Bst1/Mmp12",10
