"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","BP","GO:0051607","defense response to virus","41/191","289/28943",1.34292890396397e-42,2.04778636868689e-39,1.42585029110697e-39,"Ccl5/Isg15/Stat1/Irf7/Fgl2/Ifit3/Ifit1bl1/Ifit3b/Ifit2/Isg20/Bst2/Ifi204/Ptprc/Zbp1/Ifih1/Cxcl10/Ifit1/Rsad2/Gbp4/Rigi/Ifitm3/Gbp2b/Il1b/Slfn8/Oasl1/Znfx1/Oas3/Slfn9/Trim30d/Oas1a/Cd40/Trim30a/Rtp4/Stat2/Nt5c3/Oasl2/Gbp7/Cd86/Ddx60/Il15/Cxcl9",41
"GO:0140546","BP","GO:0140546","defense response to symbiont","41/191","290/28943",1.55606866921496e-42,2.04778636868689e-39,1.42585029110697e-39,"Ccl5/Isg15/Stat1/Irf7/Fgl2/Ifit3/Ifit1bl1/Ifit3b/Ifit2/Isg20/Bst2/Ifi204/Ptprc/Zbp1/Ifih1/Cxcl10/Ifit1/Rsad2/Gbp4/Rigi/Ifitm3/Gbp2b/Il1b/Slfn8/Oasl1/Znfx1/Oas3/Slfn9/Trim30d/Oas1a/Cd40/Trim30a/Rtp4/Stat2/Nt5c3/Oasl2/Gbp7/Cd86/Ddx60/Il15/Cxcl9",41
"GO:0009615","BP","GO:0009615","response to virus","43/191","347/28943",4.31111461510103e-42,3.78228455564864e-39,2.63356159469856e-39,"Ccl5/Isg15/Stat1/Irf7/Fgl2/Ifit3/Ifit1bl1/Ifit3b/Ifit2/Isg20/Bst2/Ifi204/Ptprc/Zbp1/Ifih1/Cxcl10/Ifit1/Rsad2/Gbp4/Rigi/Ifitm3/Igtp/Nmi/Gbp2b/Il1b/Slfn8/Oasl1/Znfx1/Oas3/Slfn9/Trim30d/Oas1a/Cd40/Trim30a/Rtp4/Stat2/Nt5c3/Oasl2/Gbp7/Cd86/Ddx60/Il15/Cxcl9",43
"GO:0035456","BP","GO:0035456","response to interferon-beta","23/191","65/28943",3.21404453040352e-34,2.11484130100551e-31,1.47253987564014e-31,"Stat1/Ifit3/Ifi209/Bst2/Xaf1/Ifi204/Ifi214/Ifit1/Ifi211/Ifi202b/Mndal/Ifitm3/Gbp2/Ifi205/Igtp/Gbp2b/Ifi47/Oas1a/Gbp3/Gm12185/Gbp7/Ifi203/Iigp1",23
"GO:0002831","BP","GO:0002831","regulation of response to biotic stimulus","36/191","371/28943",2.40135781600395e-31,1.26407475434448e-28,8.80160833192186e-29,"Ccl5/Isg15/Stat1/Irf7/Fgl2/Ifi209/Klrk1/Ifi204/Zbp1/Ifi214/Ifi211/Parp14/C3/Gbp4/Mndal/Rigi/Ifi205/Igtp/Nmi/Il1b/Oasl1/Znfx1/Oas3/Trim30d/Ifi35/Oas1a/Gbp5/Trim30a/Trafd1/Cd274/Stat2/Clec2d/Ifi203/Cd74/Ddx60/Il15",36
"GO:0035458","BP","GO:0035458","cellular response to interferon-beta","20/191","57/28943",8.65446126480889e-30,3.7964236748295e-27,2.64340650211093e-27,"Stat1/Ifit3/Ifi209/Ifi204/Ifi214/Ifit1/Ifi211/Ifi202b/Mndal/Gbp2/Ifi205/Igtp/Gbp2b/Ifi47/Oas1a/Gbp3/Gm12185/Gbp7/Ifi203/Iigp1",20
"GO:0034341","BP","GO:0034341","response to interferon-gamma","23/191","139/28943",1.02574984954297e-25,3.43254512237773e-23,2.39004201650121e-23,"Ccl5/Stat1/Bst2/Parp14/Gbp4/Ifitm3/Sp100/Gbp2/Igtp/Nmi/H2-Q7/Gbp2b/Cd40/Gbp3/Gbp5/Jak2/Gbp7/Cd74/Ccl12/Ccl4/H2-Eb1/H2-Aa/H2-Ab1",23
"GO:0032103","BP","GO:0032103","positive regulation of response to external stimulus","34/191","459/28943",1.04332678491724e-25,3.43254512237773e-23,2.39004201650121e-23,"Ccl5/Aif1/Fcer1g/Fcgr1/Irf7/Sell/Ifi209/Klrk1/Ifi204/Zbp1/Ifi214/Cxcl10/Ifi211/C3/Mndal/Ifi205/Igtp/Nmi/Il1b/Oasl1/Znfx1/Trim30d/Ifi35/Gbp5/Trim30a/Jak2/Ccr2/Stap1/Ifi203/Thbs1/Cd74/Ddx60/Kdr/Rac2",34
"GO:0048525","BP","GO:0048525","negative regulation of viral process","20/191","101/28943",3.72664731294284e-24,1.08983730307395e-21,7.58841283255378e-22,"Ccl5/Isg15/Stat1/Ly6e/Isg20/Bst2/Ifi204/Ifih1/Rsad2/Ifitm3/Sp100/Oasl1/Znfx1/Oas3/Trim30d/Oas1a/Trim30a/Resf1/Oasl2/Cd74",20
"GO:0045088","BP","GO:0045088","regulation of innate immune response","26/191","240/28943",4.93896860273374e-24,1.29993653623952e-21,9.05130982879942e-22,"Isg15/Irf7/Ifi209/Klrk1/Ifi204/Zbp1/Ifi214/Ifi211/Parp14/C3/Mndal/Ifi205/Igtp/Nmi/Znfx1/Oas3/Trim30d/Ifi35/Oas1a/Gbp5/Trim30a/Trafd1/Stat2/Clec2d/Ifi203/Cd74",26
"GO:0019882","BP","GO:0019882","antigen processing and presentation","20/191","128/28943",5.72706162099774e-22,1.37032965331509e-19,9.54144907383451e-20,"Fcer1g/Psmb8/Fcgr1/Clec4a3/Fgl2/Psme1/Psmb9/H2-T23/H2-Q4/H2-T22/Psme2/H2-Q7/H2-K1/H2-Q6/Clec4a2/Thbs1/Cd74/H2-Eb1/H2-Aa/H2-Ab1",20
"GO:0031349","BP","GO:0031349","positive regulation of defense response","26/191","305/28943",2.38399810210095e-21,5.22890250394141e-19,3.64082517171733e-19,"Ccl5/Fcer1g/Fcgr1/Irf7/Ifi209/Klrk1/Ifi204/Zbp1/Ifi214/Ifi211/C3/Mndal/Ifi205/Igtp/Nmi/Il1b/Znfx1/Trim30d/Ifi35/Gbp5/Trim30a/Jak2/Ccr2/Stap1/Ifi203/Cd74",26
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway","29/191","421/28943",3.96276204011502e-21,8.02306899198671e-19,5.58637142659129e-19,"Ccl5/Isg15/Fcer1g/Stat1/Irf7/Ptprc/Zbp1/Cxcl10/Parp14/Ifitm3/Igtp/Nmi/Il1b/Oasl1/Oas3/Oas1a/Jak2/Traf1/Ccr2/Stat2/Oasl2/Stap1/Iigp1/Cd74/Ccl12/Ccl4/Il15/Il1rn/Cxcl9",29
"GO:0002833","BP","GO:0002833","positive regulation of response to biotic stimulus","21/191","187/28943",6.37224457571896e-20,1.19798198023516e-17,8.34141188445617e-18,"Irf7/Ifi209/Klrk1/Ifi204/Zbp1/Ifi214/Ifi211/Mndal/Ifi205/Igtp/Nmi/Oasl1/Znfx1/Trim30d/Ifi35/Gbp5/Trim30a/Cd274/Ifi203/Cd74/Ddx60",21
"GO:0050792","BP","GO:0050792","regulation of viral process","20/191","175/28943",3.53994201537076e-19,6.2114182563039e-17,4.3249396833407e-17,"Ccl5/Isg15/Stat1/Ly6e/Isg20/Bst2/Ifi204/Ifih1/Rsad2/Ifitm3/Sp100/Oasl1/Znfx1/Oas3/Trim30d/Oas1a/Trim30a/Resf1/Oasl2/Cd74",20
"GO:0045071","BP","GO:0045071","negative regulation of viral genome replication","14/191","58/28943",1.44200529857651e-18,2.37209871615835e-16,1.65166527948796e-16,"Ccl5/Isg15/Isg20/Bst2/Ifi204/Ifih1/Rsad2/Ifitm3/Oasl1/Znfx1/Oas3/Oas1a/Resf1/Oasl2",14
"GO:0002821","BP","GO:0002821","positive regulation of adaptive immune response","19/191","161/28943",1.53318646224031e-18,2.37373339330382e-16,1.65280348653893e-16,"Fcer1g/Fcgr1/Ptprc/C3/Rsad2/H2-T23/H2-Q4/H2-T22/H2-Q7/Il1b/Cd40/H2-K1/Jak2/Cd274/Ccr2/Pnp/H2-Q6/Cd74/H2-Ab1",19
"GO:0002699","BP","GO:0002699","positive regulation of immune effector process","24/191","320/28943",1.76401380921632e-18,2.57938019214298e-16,1.79599300692726e-16,"Fcer1g/Fcgr1/Klrk1/Ptprc/C3/Rsad2/H2-T23/Lyn/H2-Q4/Rigi/H2-T22/H2-Q7/Il1b/Cd40/H2-K1/Ccr2/Cfb/Pnp/Stap1/H2-Q6/Cd86/Cd74/Ddx60/Rac2",24
