"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","BP","GO:0009615","response to virus","37/210","347/28943",3.87876032646047e-32,1.15354332108934e-28,7.56154118379451e-29,"Isg15/Ccl5/Il1b/Ptprc/Ifitm3/Irf7/Bst2/Stat1/Acod1/Isg20/Zbp1/Ifit3/Ifit1bl1/Ifit3b/Irak3/Ifih1/Ifit1/Cxcl10/Ifit2/Ifi204/Gbp4/Rsad2/Nmi/Gbp2b/Rigi/Fgl2/Slfn8/Oas3/Cd40/Oasl1/Trim30d/Tnf/Pou2f2/Nlrp3/Cd86/Cxcl9/Il15",37
"GO:0051607","BP","GO:0051607","defense response to virus","33/210","289/28943",1.09157797020957e-29,1.2137578820379e-26,7.95625100886348e-27,"Isg15/Ccl5/Il1b/Ptprc/Ifitm3/Irf7/Bst2/Stat1/Acod1/Isg20/Zbp1/Ifit3/Ifit1bl1/Ifit3b/Ifih1/Ifit1/Cxcl10/Ifit2/Ifi204/Gbp4/Rsad2/Gbp2b/Rigi/Fgl2/Slfn8/Oas3/Cd40/Oasl1/Trim30d/Nlrp3/Cd86/Cxcl9/Il15",33
"GO:0140546","BP","GO:0140546","defense response to symbiont","33/210","290/28943",1.22436908073763e-29,1.2137578820379e-26,7.95625100886348e-27,"Isg15/Ccl5/Il1b/Ptprc/Ifitm3/Irf7/Bst2/Stat1/Acod1/Isg20/Zbp1/Ifit3/Ifit1bl1/Ifit3b/Ifih1/Ifit1/Cxcl10/Ifit2/Ifi204/Gbp4/Rsad2/Gbp2b/Rigi/Fgl2/Slfn8/Oas3/Cd40/Oasl1/Trim30d/Nlrp3/Cd86/Cxcl9/Il15",33
"GO:0032103","BP","GO:0032103","positive regulation of response to external stimulus","35/210","459/28943",2.02515273156909e-25,1.50570105592162e-22,9.86995489175252e-23,"C3/Ccl5/Fcer1g/Aif1/Il1b/Irf7/Acod1/Sell/Ifi209/Fcgr1/Zbp1/Jak2/Klrk1/Ifi214/Stap1/Ifi205/Cxcl10/Ptgs2/Ifi204/Ifi211/Tnip1/Hmgb2/Nmi/Met/Oasl1/Gbp5/Ccl3/Nupr1/Trim30d/Tnf/Mndal/Rac2/Nlrp3/Thbs1/Cd74",35
"GO:0035456","BP","GO:0035456","response to interferon-beta","18/210","65/28943",5.46238659912661e-24,3.24902754916051e-21,2.12975578559631e-21,"Ifitm3/Bst2/Stat1/Acod1/Ifi209/Xaf1/Ifit3/Ifit1/Ifi214/Ifi205/Gbp2/Ifi204/Ifi211/Ifi202b/Gbp2b/Gbp3/Ifi47/Mndal",18
"GO:0031349","BP","GO:0031349","positive regulation of defense response","28/210","305/28943",1.17875947045867e-22,5.56296807438538e-20,3.64655678114244e-20,"C3/Ccl5/Fcer1g/Il1b/Irf7/Acod1/Ifi209/Fcgr1/Zbp1/Jak2/Klrk1/Ifi214/Stap1/Ifi205/Ptgs2/Ifi204/Ifi211/Tnip1/Hmgb2/Nmi/Gbp5/Ccl3/Nupr1/Trim30d/Tnf/Mndal/Nlrp3/Cd74",28
"GO:0002831","BP","GO:0002831","regulation of response to biotic stimulus","30/210","371/28943",1.30937379020503e-22,5.56296807438538e-20,3.64655678114244e-20,"Isg15/C3/Ccl5/Il1b/Irf7/Stat1/Acod1/Ifi209/Zbp1/Cd274/Irak3/Klrk1/Ifi214/Ifi205/Parp14/Ifi204/Ifi211/Gbp4/Hmgb2/N4bp1/Nmi/Rigi/Fgl2/Oas3/Oasl1/Gbp5/Trim30d/Mndal/Cd74/Il15",30
"GO:0034341","BP","GO:0034341","response to interferon-gamma","20/210","139/28943",2.17077782125731e-20,8.06986655052404e-18,5.28984279601123e-18,"Ccl5/Ifitm3/Bst2/Stat1/Acod1/Jak2/H2-Q7/Gbp2/Parp14/Gbp4/Nmi/Gbp2b/Nos2/Cd40/Gbp5/Ccl3/Gbp3/Ccl4/Cd74/Ccl12",20
"GO:0048525","BP","GO:0048525","negative regulation of viral process","18/210","101/28943",3.25999200970454e-20,1.07724624854014e-17,7.06140959295065e-18,"Isg15/Ccl5/Ifitm3/Bst2/Stat1/Isg20/Ifih1/Ly6e/Ifi204/Rsad2/N4bp1/Oas3/Oasl1/Slpi/Trim30d/Tnf/Resf1/Cd74",18
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway","29/210","421/28943",5.96512671311222e-20,1.77402868447958e-17,1.16288575501935e-17,"Isg15/Ccl5/Fcer1g/Il1b/Ptprc/Ifitm3/Irf7/Stat1/Traf1/Zbp1/Jak2/Irak3/Stap1/Cxcl10/Parp14/Nmi/Oas3/Oasl1/Ccl3/Tnf/Irak2/Il1rn/Ccl4/Acsl1/Cd74/Cxcl2/Cxcl9/Il15/Ccl12",29
"GO:0032496","BP","GO:0032496","response to lipopolysaccharide","28/210","386/28943",6.89758611617163e-20,1.86485646449949e-17,1.22242387436841e-17,"Ccl5/Il1b/Stat1/Acod1/Jak2/Cd274/Irak3/Klrk1/Lyn/Stap1/Cxcl10/Gbp2/Ptgs2/Tnip1/Hmgb2/Nos2/Slpi/Trim30d/Tnf/Irak2/Cmpk2/Nlrp3/Cd14/Malt1/Cd86/Cxcl2/Cxcl9/Ccl12",28
"GO:0035458","BP","GO:0035458","cellular response to interferon-beta","15/210","57/28943",8.26605839737115e-20,2.04860480614848e-17,1.34287194315187e-17,"Stat1/Acod1/Ifi209/Ifit3/Ifit1/Ifi214/Ifi205/Gbp2/Ifi204/Ifi211/Ifi202b/Gbp2b/Gbp3/Ifi47/Mndal",15
"GO:0002237","BP","GO:0002237","response to molecule of bacterial origin","28/210","407/28943",2.81701031435156e-19,6.44445282683196e-17,4.22437498152153e-17,"Ccl5/Il1b/Stat1/Acod1/Jak2/Cd274/Irak3/Klrk1/Lyn/Stap1/Cxcl10/Gbp2/Ptgs2/Tnip1/Hmgb2/Nos2/Slpi/Trim30d/Tnf/Irak2/Cmpk2/Nlrp3/Cd14/Malt1/Cd86/Cxcl2/Cxcl9/Ccl12",28
"GO:0071222","BP","GO:0071222","cellular response to lipopolysaccharide","24/210","304/28943",5.04462334075174e-18,1.02451864628569e-15,6.71577720214169e-16,"Ccl5/Il1b/Stat1/Acod1/Jak2/Cd274/Klrk1/Lyn/Stap1/Cxcl10/Gbp2/Tnip1/Nos2/Trim30d/Tnf/Irak2/Cmpk2/Nlrp3/Cd14/Malt1/Cd86/Cxcl2/Cxcl9/Ccl12",24
"GO:0002221","BP","GO:0002221","pattern recognition receptor signaling pathway","20/210","182/28943",5.16737716687468e-18,1.02451864628569e-15,6.71577720214169e-16,"Slc15a3/Irf7/Clec4e/Acod1/Pik3ap1/Irak3/Ifih1/Lyn/Alpk1/Tnip1/Rsad2/Nmi/Rigi/Oas3/Cd40/Oasl1/Irak2/Nlrp3/Cd14/Cd86",20
"GO:0045071","BP","GO:0045071","negative regulation of viral genome replication","14/210","58/28943",5.53858909467643e-18,1.02948524797298e-15,6.74833355482944e-16,"Isg15/Ccl5/Ifitm3/Bst2/Isg20/Ifih1/Ifi204/Rsad2/N4bp1/Oas3/Oasl1/Slpi/Tnf/Resf1",14
"GO:0002821","BP","GO:0002821","positive regulation of adaptive immune response","19/210","161/28943",9.26654215440714e-18,1.62109978630629e-15,1.06264000433201e-15,"C3/Fcer1g/Il1b/Ptprc/Fcgr1/Jak2/Cd274/H2-Q4/H2-Q7/Rsad2/H2-T22/H2-T23/Cd40/H2-Q6/Tnf/Pnp/Nlrp3/Malt1/Cd74",19
"GO:0071219","BP","GO:0071219","cellular response to molecule of bacterial origin","24/210","314/28943",1.06251368265149e-17,1.75550871789196e-15,1.15074581302372e-15,"Ccl5/Il1b/Stat1/Acod1/Jak2/Cd274/Klrk1/Lyn/Stap1/Cxcl10/Gbp2/Tnip1/Nos2/Trim30d/Tnf/Irak2/Cmpk2/Nlrp3/Cd14/Malt1/Cd86/Cxcl2/Cxcl9/Ccl12",24
"GO:0002699","BP","GO:0002699","positive regulation of immune effector process","24/210","320/28943",1.64024386200024e-17,2.56741328715195e-15,1.68295381297753e-15,"C3/Fcer1g/Il1b/Ptprc/Fcgr1/Cfb/H2-Q4/H2-Q7/Klrk1/Lyn/Stap1/Rsad2/H2-T22/Rigi/H2-T23/Cd40/H2-Q6/Tnf/Pnp/Rac2/Nlrp3/Malt1/Cd86/Cd74",24
