"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","16/150","350/28943",4.70187576396616e-11,7.81921185301398e-08,4.92928634721076e-08,"Ccl6/Dab2/Nrp1/Gas6/Pdgfc/Trem2/Dusp3/Igf1/Cd36/Lrp1/Trf/Apoe/Ccl9/Fn1/Gpnmb/Ccl8",16
"GO:1905954","GO:1905954","positive regulation of lipid localization","11/150","124/28943",5.12063644598165e-11,7.81921185301398e-08,4.92928634721076e-08,"Dab2/Abca1/Trem2/Cd36/Lrp1/Pltp/Osbpl11/Plin2/Lpl/Apoe/Spp1",11
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","9/150","73/28943",1.54964706084599e-10,1.36308500405118e-07,8.5929840844091e-08,"COX1/ND1/ND4/COX2/ND3/ND2/COX3/CYTB/ND5",9
"GO:0001667","GO:0001667","ameboidal-type cell migration","17/150","471/28943",4.38601704121238e-10,2.67897920877252e-07,1.68884740386893e-07,"Cd63/Nrp1/Tns1/Pmp22/Glul/Ednrb/Igf1/Lgmn/Grn/Gna12/Sash1/Rhob/Apoe/Fn1/Gpx1/Hmox1/Mmp12",17
"GO:0046034","GO:0046034","ATP metabolic process","12/150","224/28943",2.31923116934646e-09,8.85366498898012e-07,5.58141290622984e-07,"ND1/Trem2/ND4/COX2/Cfh/ATP6/ND3/Igf1/ND2/Fam20c/Atp6v1a/ND5",12
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process","12/150","251/28943",8.33474759476096e-09,1.59089494715e-06,1.00291140465907e-06,"ND1/Trem2/ND4/COX2/Cfh/ATP6/ND3/Igf1/ND2/Fam20c/Atp6v1a/ND5",12
"GO:0007626","GO:0007626","locomotory behavior","12/150","266/28943",1.5894732096706e-08,2.42712559116701e-06,1.53007710551975e-06,"Selenop/Psap/Eps8/Hexa/Cacna1a/Pmp22/Aplp2/Myo5a/Grn/Atxn1/Apoe/Hexb",12
"GO:1904646","GO:1904646","cellular response to amyloid-beta","6/150","33/28943",1.72912954986501e-08,2.51464840251798e-06,1.58525210361058e-06,"Cacna1a/Trem2/Igf1/Cd36/Lrp1/Lgmn",6
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","11/150","225/28943",2.83515696464657e-08,3.46342774801225e-06,2.18336930035308e-06,"Dab2/Nrp1/St6gal1/Dusp3/Cd36/Lrp1/Adam15/Fn1/Spp1/Pdpn/Mmp12",11
"GO:1904645","GO:1904645","response to amyloid-beta","6/150","39/28943",4.96484147530294e-08,5.83177917906737e-06,3.67639476045711e-06,"Cacna1a/Trem2/Igf1/Cd36/Lrp1/Lgmn",6
