"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070371","BP","GO:0070371","ERK1 and ERK2 cascade","16/150","350/28943",4.70187576396616e-11,7.81921185301398e-08,4.92928634721076e-08,"Ccl6/Dab2/Nrp1/Gas6/Pdgfc/Trem2/Dusp3/Igf1/Cd36/Lrp1/Trf/Apoe/Ccl9/Fn1/Gpnmb/Ccl8",16
"GO:1905954","BP","GO:1905954","positive regulation of lipid localization","11/150","124/28943",5.12063644598165e-11,7.81921185301398e-08,4.92928634721076e-08,"Dab2/Abca1/Trem2/Cd36/Lrp1/Pltp/Osbpl11/Plin2/Lpl/Apoe/Spp1",11
"GO:0042773","BP","GO:0042773","ATP synthesis coupled electron transport","9/150","73/28943",1.54964706084599e-10,1.36308500405118e-07,8.5929840844091e-08,"COX1/ND1/ND4/COX2/ND3/ND2/COX3/CYTB/ND5",9
"GO:0070372","BP","GO:0070372","regulation of ERK1 and ERK2 cascade","15/150","326/28943",1.78531107275859e-10,1.36308500405118e-07,8.5929840844091e-08,"Ccl6/Dab2/Nrp1/Gas6/Pdgfc/Trem2/Dusp3/Igf1/Cd36/Lrp1/Apoe/Ccl9/Fn1/Gpnmb/Ccl8",15
"GO:0001667","BP","GO:0001667","ameboidal-type cell migration","17/150","471/28943",4.38601704121238e-10,2.67897920877252e-07,1.68884740386893e-07,"Cd63/Nrp1/Tns1/Pmp22/Glul/Ednrb/Igf1/Lgmn/Grn/Gna12/Sash1/Rhob/Apoe/Fn1/Gpx1/Hmox1/Mmp12",17
"GO:0019646","BP","GO:0019646","aerobic electron transport chain","8/150","57/28943",5.74760068953311e-10,2.92552875097235e-07,1.84427397564142e-07,"COX1/ND1/ND4/ND3/ND2/COX3/CYTB/ND5",8
"GO:0022904","BP","GO:0022904","respiratory electron transport chain","9/150","96/28943",1.87078135588652e-09,8.16195180125348e-07,5.14535202994955e-07,"COX1/ND1/ND4/COX2/ND3/ND2/COX3/CYTB/ND5",9
"GO:0046034","BP","GO:0046034","ATP metabolic process","12/150","224/28943",2.31923116934646e-09,8.85366498898012e-07,5.58141290622984e-07,"ND1/Trem2/ND4/COX2/Cfh/ATP6/ND3/Igf1/ND2/Fam20c/Atp6v1a/ND5",12
"GO:0070374","BP","GO:0070374","positive regulation of ERK1 and ERK2 cascade","12/150","227/28943",2.69572113288918e-09,8.85967622249859e-07,5.58520243027261e-07,"Ccl6/Nrp1/Gas6/Pdgfc/Trem2/Igf1/Cd36/Lrp1/Apoe/Ccl9/Gpnmb/Ccl8",12
"GO:0006119","BP","GO:0006119","oxidative phosphorylation","10/150","140/28943",3.33332828009663e-09,8.85967622249859e-07,5.58520243027261e-07,"COX1/ND1/ND4/COX2/ATP6/ND3/ND2/COX3/CYTB/ND5",10
"GO:0010876","BP","GO:0010876","lipid localization","16/150","470/28943",3.39344772235101e-09,8.85967622249859e-07,5.58520243027261e-07,"Dab2/Psap/Hexa/Abca1/Trem2/Cd36/Lrp1/Pltp/Osbpl11/Plin2/Lpl/Osbpl9/Fabp5/Apoe/Spp1/Hexb",16
"GO:0042775","BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","8/150","71/28943",3.48120873182656e-09,8.85967622249859e-07,5.58520243027261e-07,"COX1/ND1/ND4/ND3/ND2/COX3/CYTB/ND5",8
"GO:0009060","BP","GO:0009060","aerobic respiration","11/150","187/28943",4.16206071367544e-09,9.07923815683199e-07,5.72361582354314e-07,"COX1/ND1/Idh1/ND4/COX2/ATP6/ND3/ND2/COX3/CYTB/ND5",11
"GO:1905952","BP","GO:1905952","regulation of lipid localization","11/150","187/28943",4.16206071367544e-09,9.07923815683199e-07,5.72361582354314e-07,"Dab2/Abca1/Trem2/Cd36/Lrp1/Pltp/Osbpl11/Plin2/Lpl/Apoe/Spp1",11
"GO:0022900","BP","GO:0022900","electron transport chain","9/150","107/28943",4.92957437367756e-09,1.00366134248075e-06,6.32715195049562e-07,"COX1/ND1/ND4/COX2/ND3/ND2/COX3/CYTB/ND5",9
"GO:0009205","BP","GO:0009205","purine ribonucleoside triphosphate metabolic process","12/150","251/28943",8.33474759476096e-09,1.59089494715e-06,1.00291140465907e-06,"ND1/Trem2/ND4/COX2/Cfh/ATP6/ND3/Igf1/ND2/Fam20c/Atp6v1a/ND5",12
"GO:0009144","BP","GO:0009144","purine nucleoside triphosphate metabolic process","12/150","257/28943",1.0845412151615e-08,1.84010492839068e-06,1.16001513598268e-06,"ND1/Trem2/ND4/COX2/Cfh/ATP6/ND3/Igf1/ND2/Fam20c/Atp6v1a/ND5",12
"GO:0009199","BP","GO:0009199","ribonucleoside triphosphate metabolic process","12/150","257/28943",1.0845412151615e-08,1.84010492839068e-06,1.16001513598268e-06,"ND1/Trem2/ND4/COX2/Cfh/ATP6/ND3/Igf1/ND2/Fam20c/Atp6v1a/ND5",12
"GO:0050900","BP","GO:0050900","leukocyte migration","14/150","385/28943",1.49777818372413e-08,2.40748135425973e-06,1.51769323990661e-06,"Ccl6/Eps8/Gas6/Pf4/Trem2/Ednrb/Fcgr3/Lgmn/Ecm1/Ccl9/Cadm1/Spp1/Ccl8/Lgals3",14
"GO:0007626","BP","GO:0007626","locomotory behavior","12/150","266/28943",1.5894732096706e-08,2.42712559116701e-06,1.53007710551975e-06,"Selenop/Psap/Eps8/Hexa/Cacna1a/Pmp22/Aplp2/Myo5a/Grn/Atxn1/Apoe/Hexb",12
"GO:1904646","BP","GO:1904646","cellular response to amyloid-beta","6/150","33/28943",1.72912954986501e-08,2.51464840251798e-06,1.58525210361058e-06,"Cacna1a/Trem2/Igf1/Cd36/Lrp1/Lgmn",6
"GO:0009141","BP","GO:0009141","nucleoside triphosphate metabolic process","12/150","275/28943",2.29632086367808e-08,3.09988477083069e-06,1.95418924132262e-06,"ND1/Trem2/ND4/COX2/Cfh/ATP6/ND3/Igf1/ND2/Fam20c/Atp6v1a/ND5",12
"GO:0019915","BP","GO:0019915","lipid storage","8/150","90/28943",2.33455631071073e-08,3.09988477083069e-06,1.95418924132262e-06,"Hexa/Trem2/Cd36/Osbpl11/Plin2/Lpl/Apoe/Hexb",8
"GO:0015980","BP","GO:0015980","energy derivation by oxidation of organic compounds","13/150","337/28943",2.51251948699144e-08,3.19718104719661e-06,2.01552550074884e-06,"COX1/ND1/Idh1/ND4/COX2/ATP6/ND3/Igf1/ND2/Cd36/COX3/CYTB/ND5",13
"GO:0010810","BP","GO:0010810","regulation of cell-substrate adhesion","11/150","225/28943",2.83515696464657e-08,3.46342774801225e-06,2.18336930035308e-06,"Dab2/Nrp1/St6gal1/Dusp3/Cd36/Lrp1/Adam15/Fn1/Spp1/Pdpn/Mmp12",11
"GO:1904645","BP","GO:1904645","response to amyloid-beta","6/150","39/28943",4.96484147530294e-08,5.83177917906737e-06,3.67639476045711e-06,"Cacna1a/Trem2/Igf1/Cd36/Lrp1/Lgmn",6
"GO:0150146","BP","GO:0150146","cell junction disassembly","5/150","21/28943",6.65470686275414e-08,7.37424280075739e-06,4.6487747156741e-06,"Trem2/Dusp3/C1qc/C1qa/C1qb",5
"GO:0045333","BP","GO:0045333","cellular respiration","11/150","245/28943",6.76092987626741e-08,7.37424280075739e-06,4.6487747156741e-06,"COX1/ND1/Idh1/ND4/COX2/ATP6/ND3/ND2/COX3/CYTB/ND5",11
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","13/150","371/28943",7.7087924280349e-08,8.10050456468802e-06,5.1066152582685e-06,"Cd63/Dab2/Nrp1/Gas6/St6gal1/Dusp3/Cd36/Lrp1/Adam15/Fn1/Spp1/Pdpn/Mmp12",13
"GO:0050885","BP","GO:0050885","neuromuscular process controlling balance","7/150","70/28943",7.95727363918273e-08,8.10050456468802e-06,5.1066152582685e-06,"Psap/Hexa/Cacna1a/Aplp2/Tpp1/Myo5a/Hexb",7
"GO:0006754","BP","GO:0006754","ATP biosynthetic process","8/150","106/28943",8.47050600843143e-08,8.34481462895148e-06,5.26063004734163e-06,"ND1/Trem2/ND4/COX2/ATP6/ND3/ND2/ND5",8
"GO:0042060","BP","GO:0042060","wound healing","13/150","380/28943",1.01684708188099e-07,9.7045343377017e-06,6.11780694986951e-06,"Gas6/Pf4/Cfh/Ahnak/Igf1/Cd36/Apoe/F13a1/Fn1/Gpx1/Hmox1/Pdpn/Mmp12",13
"GO:0098883","BP","GO:0098883","synapse pruning","4/150","10/28943",1.42055181235829e-07,1.31465613180067e-05,8.28768505519399e-06,"Trem2/C1qc/C1qa/C1qb",4
"GO:1903076","BP","GO:1903076","regulation of protein localization to plasma membrane","8/150","114/28943",1.49275628581878e-07,1.3408463814384e-05,8.45279023765497e-06,"Dab2/Trem2/Myo5a/Lrp1/Cltc/Ap2m1/Sptbn1/Lgals3",8
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","14/150","465/28943",1.54157503621691e-07,1.34513433160184e-05,8.47982177816762e-06,"COX1/ND1/Idh1/ND4/COX2/ATP6/ND3/Igf1/ND2/Cd36/Myo5a/COX3/CYTB/ND5",14
"GO:0009206","BP","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","8/150","117/28943",1.82564610916458e-07,1.54875644927462e-05,9.76346998146786e-06,"ND1/Trem2/ND4/COX2/ATP6/ND3/ND2/ND5",8
"GO:0009145","BP","GO:0009145","purine nucleoside triphosphate biosynthetic process","8/150","118/28943",1.9499016348888e-07,1.60945934944605e-05,1.01461453491084e-05,"ND1/Trem2/ND4/COX2/ATP6/ND3/ND2/ND5",8
"GO:0006898","BP","GO:0006898","receptor-mediated endocytosis","11/150","274/28943",2.08679322266456e-07,1.67712276368883e-05,1.05727002887908e-05,"Mrc1/Cd63/Dab2/Cd36/Ctsl/Lrp1/Ap2a2/Cltc/Ap2m1/Trf/Apoe",11
