"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072593","GO:0072593","reactive oxygen species metabolic process","23/190","245/28943",5.44624809187671e-20,1.90564220734766e-16,1.08523659346554e-16,"Prdx5/Sod2/Cybb/Lrrk2/Fpr2/Bnip3/Itgb2/Pid1/Cxcl1/Hif1a/Acod1/Gpx1/Met/Itgam/Prdx6/Pon3/Cflar/Nos2/Txnrd1/Lcn2/Ncf1/Tnf/Cd36",23
"GO:0042060","GO:0042060","wound healing","26/190","380/28943",5.20943396054593e-19,9.1139047139751e-16,5.19024130911234e-16,"Sdc1/Cav1/Gja1/Il1a/Slc7a11/F10/Ceacam1/Fn1/Pdpn/Anxa2/Hif1a/Cd9/Cd44/Gpx1/S100a10/Plaur/Plec/Cflar/Anxa1/Sdc4/Plek/Pla2g4a/Serpinb2/Tnf/Cd36/Pf4",26
"GO:0032496","GO:0032496","response to lipopolysaccharide","25/190","386/28943",9.55519029288779e-18,1.11445369449381e-14,6.34665797348652e-15,"Slpi/Il1a/Wfdc21/Cd14/Cxcl3/Irak3/S100a8/Malt1/Mif/Cxcl2/Cxcl1/Acod1/Cebpb/Tnip1/Nfkbia/Nlrp3/Vim/Nos2/Il1b/Ptgs2/Tnfrsf1b/Sash1/Tnf/Cd36/Pf4",25
"GO:0002237","GO:0002237","response to molecule of bacterial origin","25/190","407/28943",3.33389876520046e-17,2.91632794485911e-14,1.66080799013802e-14,"Slpi/Il1a/Wfdc21/Cd14/Cxcl3/Irak3/S100a8/Malt1/Mif/Cxcl2/Cxcl1/Acod1/Cebpb/Tnip1/Nfkbia/Nlrp3/Vim/Nos2/Il1b/Ptgs2/Tnfrsf1b/Sash1/Tnf/Cd36/Pf4",25
"GO:0050727","GO:0050727","regulation of inflammatory response","23/190","367/28943",4.30357562726341e-16,3.01164222395893e-13,1.71508813945466e-13,"Ptges/Smpdl3b/Lrrk2/Slc7a2/S100a8/Bst1/Pmp22/Acod1/Abcc1/Cd44/Gpx1/Cebpb/Tnip1/Nfkbia/Nlrp3/Anxa1/Il1b/Ptgs2/Ncf1/Tnfrsf1b/Pla2g4a/Tnf/Ccl3",23
"GO:0006979","GO:0006979","response to oxidative stress","23/190","407/28943",3.98657736372939e-15,2.32483903261485e-12,1.32396332448066e-12,"Slc7a11/Prdx5/Sod2/Lrrk2/Ero1a/Rbpms/Bnip3/P4hb/Txn1/Cd38/Hif1a/Abcc1/Gpx1/Map3k5/Mmp9/Met/Itgam/Prdx6/Anxa1/Ptgs2/Txnrd1/Lcn2/Cd36",23
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","20/190","304/28943",1.57294172061935e-14,7.86246154349587e-12,4.4775619204999e-12,"Il1a/Cd14/Cxcl3/Malt1/Mif/Cxcl2/Cxcl1/Acod1/Cebpb/Tnip1/Nfkbia/Nlrp3/Vim/Nos2/Il1b/Tnfrsf1b/Sash1/Tnf/Cd36/Pf4",20
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","20/190","310/28943",2.27642704271149e-14,9.95652277805938e-12,5.67010051559586e-12,"Cav1/Sod2/Lrrk2/Ero1a/S100a8/Eno1/Bnip3/Mif/P4hb/Hif1a/Cd44/Gpx1/Cebpb/Map3k5/Mmp9/Crip1/Plaur/Ptgs2/Tnfrsf1b/Tnf",20
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","20/190","314/28943",2.89964938607423e-14,1.12731924465264e-11,6.41992548285207e-12,"Il1a/Cd14/Cxcl3/Malt1/Mif/Cxcl2/Cxcl1/Acod1/Cebpb/Tnip1/Nfkbia/Nlrp3/Vim/Nos2/Il1b/Tnfrsf1b/Sash1/Tnf/Cd36/Pf4",20
"GO:0062197","GO:0062197","cellular response to chemical stress","20/190","340/28943",1.28974959805214e-13,3.87819845037403e-11,2.20857979469564e-11,"Cav1/Slc7a11/Prdx5/Sod2/Lrrk2/Bnip3/P4hb/Txn1/Hif1a/Gpx1/Map3k5/Mmp9/Met/Itgam/Plec/Nlrp3/Anxa1/Ptgs2/Lcn2/Cd36",20
