"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","regulation","rank","gene_SYMBOL","ENTREZID"
"Adpgk",8.05954487848524e-228,-3.34852199397267,0.025,0.921,2.60202406401896e-223,"Neutrophil 1","Adpgk","down",1716.18511554211,"Adpgk","72141"
"Ngp",1.6592766556759e-227,-7.11867968409028,0.025,0.921,5.35697468284964e-223,"Neutrophil 1","Ngp","down",3643.3265684463,"Ngp","18054"
"1700047M11Rik",6.07161872440358e-218,-1.40416964357323,0.009,0.698,1.9602221051737e-213,"Neutrophil 1","1700047M11Rik","down",687.730791715365,"1700047M11Rik","67330"
"Cd177",1.01843590875984e-212,-3.23373033927996,0.036,0.984,3.28802033143114e-208,"Neutrophil 1","Cd177","down",1544.90630613622,"Cd177","68891"
"Serpinb1a",1.33885533163284e-194,-1.67837746748642,0.01,0.651,4.32249443817662e-190,"Neutrophil 1","Serpinb1a","down",731.8184543007,"Serpinb1a","66222"
"B230208H11Rik",5.01430286970018e-184,-1.33689646214025,0.007,0.571,1.6188676814827e-179,"Neutrophil 1","B230208H11Rik","down",550.374878717954,"B230208H11Rik","320273"
"Camp",6.96265420908957e-150,-6.47860286675163,0.039,0.825,2.24789291140457e-145,"Neutrophil 1","Camp","down",2157.79486086546,"Camp","12796"
"Ly6g",7.83516223951549e-150,-3.62750312016045,0.069,1,2.52958212902758e-145,"Neutrophil 1","Ly6g","down",1207.76549911848,"Ly6g","546644"
"Rflnb",4.53762792190123e-148,-1.98577828721469,0.05,0.921,1.46497317458581e-143,"Neutrophil 1","Rflnb","down",653.098314457139,"Rflnb","76566"
"Fmo5",4.39593379145382e-147,-1.48278378884717,0.014,0.587,1.41922722457086e-142,"Neutrophil 1","Fmo5","down",484.302349301096,"Fmo5","14263"
"Ccdc125",9.40636432149843e-146,-1.23498889883442,0.018,0.635,3.03684472119577e-141,"Neutrophil 1","Ccdc125","down",399.585201811705,"Ccdc125","76041"
"Scrg1",2.36170070614292e-132,-1.12053129932368,0.012,0.524,7.62475072978241e-128,"Neutrophil 1","Scrg1","down",327.978942387436,"Scrg1","20284"
"Golim4",2.03152953700157e-128,-2.2128868872821,0.04,0.778,6.55879311020958e-124,"Neutrophil 1","Golim4","down",627.66267225067,"Golim4","73124"
"Gpr27",5.28723503231796e-125,-0.633151119099856,0.003,0.349,1.70698383018385e-120,"Neutrophil 1","Gpr27","down",174.607555800893,"Gpr27","14761"
"Ppp1r42",5.57174758563127e-125,-1.2415386412788,0.012,0.508,1.79883870802105e-120,"Neutrophil 1","Ppp1r42","down",342.320845529165,"Ppp1r42","69312"
"Itgb2l",8.6256451966321e-123,-0.799493429121754,0.01,0.476,2.78478955173267e-118,"Neutrophil 1","Itgb2l","down",216.407575888779,"Itgb2l","16415"
"Chil5",1.20293972949001e-121,-0.611866914022794,0.002,0.317,3.8836909166585e-117,"Neutrophil 1","Chil5","down",164.008276866017,"Chil5","229687"
"ENSMUSG00000086425",1.30753854914798e-121,-0.531430780625903,0.002,0.317,4.22138820592427e-117,"Neutrophil 1","ENSMUSG00000086425","down",142.403409934877,"F730016J06Rik","100504177"
"Abca13",4.22709367808667e-119,-2.3210619506082,0.03,0.667,1.36471719397028e-114,"Neutrophil 1","Abca13","down",608.544734033445,"Abca13","268379"
"Mgst2",7.81160440060782e-119,-0.995303971384832,0.012,0.492,2.52197648073624e-114,"Neutrophil 1","Mgst2","down",260.341319092092,"Mgst2","211666"
"Padi4",6.56905224524213e-116,-2.02247187109297,0.065,0.889,2.12081851737642e-111,"Neutrophil 1","Padi4","down",515.396908918424,"Padi4","18602"
"Cdadc1",6.42367714674917e-112,-1.67351322118048,0.02,0.556,2.07388416682797e-107,"Neutrophil 1","Cdadc1","down",411.093806307699,"Cdadc1","71891"
"Syne1",1.78230825185463e-111,-4.38938132940101,0.109,1,5.75418219111269e-107,"Neutrophil 1","Syne1","down",1073.7597731847,"Syne1","64009"
"Bmx",6.39769903001277e-111,-1.79256173250898,0.053,0.81,2.06549713183962e-106,"Neutrophil 1","Bmx","down",436.217475708382,"Bmx","12169"
"Erg",4.49008150038698e-110,-0.908503374243133,0.007,0.397,1.44962281239994e-105,"Neutrophil 1","Erg","down",219.312833893435,"Erg","13876"
"Aff2",1.06490299176979e-105,-2.05413851264658,0.017,0.508,3.43803930892876e-101,"Neutrophil 1","Aff2","down",475.176042131706,"Aff2","14266"
"Asb7",2.48605772748544e-103,-1.10624449265564,0.028,0.603,8.02623737318676e-99,"Neutrophil 1","Asb7","down",249.870992786129,"Asb7","117589"
