"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032970","BP","GO:0032970","regulation of actin filament-based process","43/617","416/28943",1.49098793632526e-17,6.80934190519746e-14,4.92026018987336e-14,"Arhgef18/Cnn2/Arhgdib/Pam/Sptbn1/Cyfip2/Clasp1/Add3/Myh9/Tmsb4x/Flna/Stap1/Dstn/Svil/Twf2/Arpc5/Capn1/Capza1/Fer/Wdr1/Dbnl/Coro1a/Map3k1/Arpc2/Arfgef1/Cotl1/Gsn/Sri/Akap13/Braf/Actr3/Mtpn/Arpc3/Pde4d/Trpm2/Pfn1/Iqgap1/Abracl/Rac2/Nckap1l/Arpc1b/Arpc4/Ssh2",43
"GO:0008064","BP","GO:0008064","regulation of actin polymerization or depolymerization","27/617","165/28943",1.9794348169805e-16,4.52003940457496e-13,3.26606744801782e-13,"Sptbn1/Cyfip2/Add3/Tmsb4x/Dstn/Svil/Twf2/Arpc5/Capn1/Capza1/Fer/Wdr1/Dbnl/Coro1a/Map3k1/Arpc2/Arfgef1/Cotl1/Gsn/Actr3/Mtpn/Arpc3/Pfn1/Nckap1l/Arpc1b/Arpc4/Ssh2",27
"GO:0030832","BP","GO:0030832","regulation of actin filament length","27/617","168/28943",3.16522662116892e-16,4.81852999295948e-13,3.48174928328581e-13,"Sptbn1/Cyfip2/Add3/Tmsb4x/Dstn/Svil/Twf2/Arpc5/Capn1/Capza1/Fer/Wdr1/Dbnl/Coro1a/Map3k1/Arpc2/Arfgef1/Cotl1/Gsn/Actr3/Mtpn/Arpc3/Pfn1/Nckap1l/Arpc1b/Arpc4/Ssh2",27
"GO:0007015","BP","GO:0007015","actin filament organization","43/617","460/28943",5.8852551640867e-16,6.2928200262018e-13,4.54703439598554e-13,"Rflnb/Arhgef18/Actn1/Coro7/Triobp/Myo5a/Sptbn1/Cyfip2/Clasp1/Add3/Sh3kbp1/Tmsb4x/Flna/Mcu/Dstn/Svil/Twf2/Arpc5/Capn1/Capza1/Fer/Wdr1/Dbnl/Trf/Coro1a/Map3k1/Arpc2/Arfgef1/Cotl1/Gsn/Braf/Actr3/Mtpn/Arpc3/Pfn1/Rac2/Tpm3/Nckap1l/Arpc1b/Arpc4/Wipf1/Elmo1/Ssh2",43
"GO:0030833","BP","GO:0030833","regulation of actin filament polymerization","25/617","146/28943",8.61818213079055e-16,6.2928200262018e-13,4.54703439598554e-13,"Sptbn1/Cyfip2/Add3/Tmsb4x/Svil/Twf2/Arpc5/Capn1/Capza1/Fer/Dbnl/Coro1a/Map3k1/Arpc2/Arfgef1/Cotl1/Gsn/Actr3/Mtpn/Arpc3/Pfn1/Nckap1l/Arpc1b/Arpc4/Ssh2",25
"GO:0032271","BP","GO:0032271","regulation of protein polymerization","29/617","206/28943",9.53000552636909e-16,6.2928200262018e-13,4.54703439598554e-13,"Slain2/Sptbn1/Cyfip2/Add3/Tmsb4x/Svil/Twf2/Clip1/Arpc5/Capn1/Capza1/Fer/Dbnl/Coro1a/Map3k1/Arpc2/Vdac2/Arfgef1/Cotl1/Gsn/Actr3/Gda/Mtpn/Arpc3/Pfn1/Nckap1l/Arpc1b/Arpc4/Ssh2",29
"GO:0043254","BP","GO:0043254","regulation of protein-containing complex assembly","41/617","425/28943",9.64522447633296e-16,6.2928200262018e-13,4.54703439598554e-13,"Mpp7/Ncam1/Ica1/Slain2/Sptbn1/Svip/Cyfip2/Add3/Lmo4/Stxbp5/Tmsb4x/Svil/Twf2/Clip1/Arpc5/Capn1/Capza1/Fer/Tirap/Dbnl/Coro1a/Map3k1/Arpc2/Vdac2/Arfgef1/Senp6/Cotl1/Plcg2/Gsn/Actr3/Asap1/Gda/Mtpn/Arpc3/Riok3/Pfn1/Nckap1l/Arpc1b/Arpc4/Cd24a/Ssh2",41
"GO:0032956","BP","GO:0032956","regulation of actin cytoskeleton organization","38/617","368/28943",1.22499422539094e-15,6.99318578420052e-13,5.05310117973762e-13,"Arhgef18/Arhgdib/Pam/Sptbn1/Cyfip2/Clasp1/Add3/Tmsb4x/Flna/Stap1/Dstn/Svil/Twf2/Arpc5/Capn1/Capza1/Fer/Wdr1/Dbnl/Coro1a/Map3k1/Arpc2/Arfgef1/Cotl1/Gsn/Akap13/Braf/Actr3/Mtpn/Arpc3/Trpm2/Pfn1/Iqgap1/Rac2/Nckap1l/Arpc1b/Arpc4/Ssh2",38
"GO:0008154","BP","GO:0008154","actin polymerization or depolymerization","28/617","198/28943",2.6603179627662e-15,1.34996357066147e-12,9.75449919680941e-13,"Sptbn1/Cyfip2/Add3/Tmsb4x/Dstn/Svil/Twf2/Arpc5/Capn1/Capza1/Fer/Wdr1/Dbnl/Coro1a/Map3k1/Arpc2/Arfgef1/Cotl1/Gsn/Actr3/Mtpn/Arpc3/Pfn1/Nckap1l/Arpc1b/Arpc4/Wipf1/Ssh2",28
"GO:0051258","BP","GO:0051258","protein polymerization","32/617","274/28943",7.17148981133668e-15,3.27521939683746e-12,2.3665916377411e-12,"Nin/Slain2/Sptbn1/Cyfip2/Clasp1/Add3/Tmsb4x/Svil/Twf2/Clip1/Arpc5/Capn1/Capza1/Fer/Dbnl/Coro1a/Map3k1/Arpc2/Vdac2/Arfgef1/Cotl1/Gsn/Actr3/Gda/Mtpn/Arpc3/Pfn1/Gpx4/Nckap1l/Arpc1b/Arpc4/Ssh2",32
