"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","BP","GO:0009615","response to virus","40/284","347/28943",1.02070119135392e-30,2.09909490879962e-27,1.25125363291073e-27,"Il1b/Acod1/Isg15/Ifitm2/Tnf/Nlrp3/Trim30a/Rsad2/Gbp2b/Rtp4/Oasl1/Isg20/Ifitm3/Irf7/Ifit1/Slfn8/Fgl2/Irf1/Ifit3b/Parp9/Ifih1/Ifitm1/Ifi27l2a/Oas2/Cxcl10/Rigi/Ifit3/Treml4/Irgm1/Pmaip1/Ikbke/Gbp7/Oas3/Stat2/Zc3hav1/Nmi/Il10rb/Il23a/Igtp/Il15",40
"GO:0002221","BP","GO:0002221","pattern recognition receptor signaling pathway","32/284","182/28943",1.11092612267775e-30,2.09909490879962e-27,1.25125363291073e-27,"Nfkbia/Acod1/Tnfaip3/Nlrp3/Mapkapk2/Irak2/Trim30a/Rsad2/Clec4e/Pik3ap1/Oasl1/Erbin/Irf7/Slc15a3/Nod2/Cd14/Mefv/Irf1/Ninj1/Ifih1/Tlr4/Tnip1/Rigi/Treml4/Irgm1/Lyn/Oas3/Zc3hav1/Nmi/Tlr2/Peli1/Igtp",32
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway","42/284","421/28943",1.19006520485622e-29,1.49908546971722e-26,8.93592820488528e-27,"Nfkbia/Il1b/Cxcl2/Isg15/Ifitm2/Tnf/Irak2/Fcer1g/Il1rn/Ccl3/Csf1/Ccl4/Oasl1/Ifitm3/Irf7/Parp14/Irf1/Parp9/Csf3r/Casp4/Ifitm1/Oas2/Adam17/Il1rap/Il13ra1/Cxcl10/Traf1/Irgm1/Klf6/Ikbke/Il1a/Il10ra/Il36g/Oas3/Stat2/Jak2/Egr1/Csf2rb/Nmi/Il10rb/Igtp/Il15",42
"GO:0051607","BP","GO:0051607","defense response to virus","34/284","289/28943",1.6607084135713e-26,1.4098397086473e-23,8.40394138383926e-24,"Il1b/Acod1/Isg15/Ifitm2/Nlrp3/Trim30a/Rsad2/Gbp2b/Rtp4/Oasl1/Isg20/Ifitm3/Irf7/Ifit1/Slfn8/Fgl2/Irf1/Ifit3b/Parp9/Ifih1/Ifitm1/Oas2/Cxcl10/Rigi/Ifit3/Treml4/Pmaip1/Gbp7/Oas3/Stat2/Zc3hav1/Il10rb/Il23a/Il15",34
"GO:0140546","BP","GO:0140546","defense response to symbiont","34/284","290/28943",1.86536082117928e-26,1.4098397086473e-23,8.40394138383926e-24,"Il1b/Acod1/Isg15/Ifitm2/Nlrp3/Trim30a/Rsad2/Gbp2b/Rtp4/Oasl1/Isg20/Ifitm3/Irf7/Ifit1/Slfn8/Fgl2/Irf1/Ifit3b/Parp9/Ifih1/Ifitm1/Oas2/Cxcl10/Rigi/Ifit3/Treml4/Pmaip1/Gbp7/Oas3/Stat2/Zc3hav1/Il10rb/Il23a/Il15",34
"GO:0032103","BP","GO:0032103","positive regulation of response to external stimulus","39/284","459/28943",5.74077148860665e-25,3.61572924257409e-22,2.15530719045934e-22,"Nfkbia/Il1b/Acod1/Nfkbiz/Tnf/Nlrp3/Trim30a/Fcer1g/Ptgs2/Ccl3/Cebpb/Csf1/Oasl1/Gbp5/Irf7/Nod2/Mefv/Clec4n/C5ar1/Ninj1/Parp9/Tlr4/Casp4/Tnip1/Pla2g7/Emilin2/Adam17/Trem1/Cxcl10/Irgm1/Ikbke/Ctss/Zc3hav1/Jak2/Ptprj/Nmi/Tlr2/Il23a/Igtp",39
"GO:0002237","BP","GO:0002237","response to molecule of bacterial origin","37/284","407/28943",9.42880587250881e-25,5.09020819888726e-22,3.03423226573968e-22,"Nfkbia/Il1b/Cxcl2/Acod1/B2m/Ptafr/Tnfaip3/Tnf/Nlrp3/Mapkapk2/Irak2/Zfp36/Trim30a/Gbp2/Tnfrsf1b/Cd274/Ptgs2/Pde4b/Cebpb/Lilrb4a/Erbin/Nod2/Cd14/C5ar1/Tlr4/Tnip1/Adam17/Cxcl10/Irgm1/Il1a/Lyn/Il36g/Jak2/Cmpk2/Tlr2/Peli1/Igtp",37
"GO:0002831","BP","GO:0002831","regulation of response to biotic stimulus","35/284","371/28943",5.4188748894132e-24,2.55974102588656e-21,1.52584108728214e-21,"Il1b/Acod1/Isg15/Tnfaip3/Trim30a/Cd274/Clec2d/Oasl1/Nfe2l2/Gbp5/Irf7/Parp14/Nod2/N4bp1/Clec4n/Fgl2/Irf1/Parp9/Tlr4/Trafd1/Emilin2/Arg2/Rigi/Treml4/Irgm1/Fgr/Ikbke/Oas3/Stat2/Zc3hav1/Nmi/Tlr2/Il23a/Igtp/Il15",35
"GO:0032496","BP","GO:0032496","response to lipopolysaccharide","35/284","386/28943",2.04137650275284e-23,8.57151311544777e-21,5.10941019402466e-21,"Nfkbia/Il1b/Cxcl2/Acod1/B2m/Ptafr/Tnfaip3/Tnf/Nlrp3/Mapkapk2/Irak2/Zfp36/Trim30a/Gbp2/Tnfrsf1b/Cd274/Ptgs2/Pde4b/Cebpb/Lilrb4a/Erbin/Nod2/Cd14/Tlr4/Tnip1/Adam17/Cxcl10/Irgm1/Il1a/Lyn/Il36g/Jak2/Cmpk2/Peli1/Igtp",35
"GO:0034341","BP","GO:0034341","response to interferon-gamma","24/284","139/28943",4.60531451272687e-23,1.59472332124483e-20,9.50601776427608e-21,"Acod1/Ifitm2/Gbp2/Gbp2b/Ccl3/Ccl4/Gbp5/Ifitm3/Parp14/Mefv/Irf1/Parp9/Tlr4/Rab20/Ifitm1/Irgm1/Gbp3/Cdc42ep2/Gbp7/Jak2/Nmi/Tlr2/Irgm2/Igtp",24
"GO:0071216","BP","GO:0071216","cellular response to biotic stimulus","33/284","340/28943",4.64195727274229e-23,1.59472332124483e-20,9.50601776427608e-21,"Nfkbia/Il1b/Cxcl2/Acod1/B2m/Tnfaip3/Tnf/Nlrp3/Irak2/Zfp36/Trim30a/Gbp2/Tnfrsf1b/Cd274/Pde4b/Cebpb/Lilrb4a/Nod2/Cd14/Hspa5/Bcl2l11/Tlr4/Tnip1/Cxcl10/Irgm1/Il1a/Lyn/Il36g/Txnip/Jak2/Cmpk2/Tlr2/Igtp",33
"GO:0071219","BP","GO:0071219","cellular response to molecule of bacterial origin","30/284","314/28943",7.52280596943602e-21,2.36905697987489e-18,1.41217585742045e-18,"Nfkbia/Il1b/Cxcl2/Acod1/B2m/Tnfaip3/Tnf/Nlrp3/Irak2/Zfp36/Trim30a/Gbp2/Tnfrsf1b/Cd274/Pde4b/Cebpb/Lilrb4a/Nod2/Cd14/Tlr4/Tnip1/Cxcl10/Irgm1/Il1a/Lyn/Il36g/Jak2/Cmpk2/Tlr2/Igtp",30
"GO:0071222","BP","GO:0071222","cellular response to lipopolysaccharide","29/284","304/28943",3.60363142643806e-20,1.0475479354238e-17,6.2443491923704e-18,"Nfkbia/Il1b/Cxcl2/Acod1/B2m/Tnfaip3/Tnf/Nlrp3/Irak2/Zfp36/Trim30a/Gbp2/Tnfrsf1b/Cd274/Pde4b/Cebpb/Lilrb4a/Nod2/Cd14/Tlr4/Tnip1/Cxcl10/Irgm1/Il1a/Lyn/Il36g/Jak2/Cmpk2/Igtp",29
